u,v,key,osmid,oneway,lanes,name,highway,junction,reversed,length,geometry,bridge,access,ref,maxspeed
1700554352,5084610584,0,157803660,True,,落馬洲路 Lok Ma Chau Road,tertiary,intersection,False,6.031,"LINESTRING (114.0827571 22.5036704, 114.0827796 22.5036203)",,,,
1700554352,598503087,0,157803651,True,1,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,intersection,False,36.78,"LINESTRING (114.0827571 22.5036704, 114.082951 22.5037266, 114.0831001 22.5037651)",,,,
1700554363,598503087,0,157803662,True,1,落馬洲路 Lok Ma Chau Road,secondary_link,,False,52.814,"LINESTRING (114.082609 22.5038974, 114.082806 22.503823, 114.0829598 22.5037839, 114.0831001 22.5037651)",,,,
1700554363,1700554352,0,157803663,True,1,落馬洲路 Lok Ma Chau Road,tertiary,,False,29.5,"LINESTRING (114.082609 22.5038974, 114.0827065 22.5037427, 114.0827256 22.5037204, 114.0827571 22.5036704)",,,,
1700554456,1480657235,0,157803656,False,,洲頭西路 Chau Tau West Road,residential,,False,214.86,"LINESTRING (114.0831175 22.5075738, 114.0827674 22.507295, 114.0825049 22.5070134, 114.0823268 22.506796, 114.0817265 22.5061374)",,,,
5084610584,1492216102,0,521920242,True,,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,intersection,False,7.524,"LINESTRING (114.0827796 22.5036203, 114.0827112 22.5035961)",,,,
6062651144,1492216060,0,"[768062097, 157803683]",True,2,,primary,,False,780.6439999999999,"LINESTRING (114.0852217 22.5031347, 114.0848031 22.5029361, 114.0845014 22.5027817, 114.0841998 22.5025812, 114.0832481 22.5018874, 114.0830096 22.5016975, 114.0829227 22.501615, 114.0828448 22.5015243, 114.0826732 22.5012288, 114.0824904 22.5009076, 114.0822984 22.5006691, 114.0820428 22.5004872, 114.0818037 22.5003985, 114.081461 22.5003615, 114.0811743 22.5004088, 114.0810208 22.5004512, 114.0808485 22.5005356, 114.0807122 22.5006357, 114.0806026 22.5007469, 114.0805308 22.5008321, 114.0804644 22.5009422, 114.0804116 22.5010803, 114.0803705 22.5012671, 114.0803578 22.5014436, 114.0803751 22.5016475, 114.0804043 22.5019278, 114.0804022 22.5020202, 114.0803749 22.5022152)",yes,no,,50
6482141887,7591257482,0,46875080,False,2,白石凹交匯處 Pak Shek Au Interchange,tertiary,,True,42.064,"LINESTRING (114.091267 22.5034032, 114.0912879 22.503781)",,,,
6482141887,598512043,0,1004100319,False,2,古洞路 Kwu Tung Road,tertiary,,False,793.828,"LINESTRING (114.091267 22.5034032, 114.0916221 22.503392, 114.0919313 22.5034011, 114.0920004 22.503405, 114.0926084 22.5034634, 114.0929074 22.5035017, 114.0933658 22.5035503, 114.0938155 22.503595, 114.0940082 22.5036136, 114.0941859 22.5036162, 114.0943348 22.5036082, 114.0944699 22.5035882, 114.0946578 22.5035453, 114.0947949 22.5035004, 114.0949276 22.5034407, 114.0950721 22.5033646, 114.0951566 22.5033044, 114.0954462 22.5030616, 114.0957529 22.5027926, 114.095906 22.5026912, 114.0960624 22.502618, 114.0961537 22.5025855, 114.0963485 22.5025438, 114.0966113 22.5025065, 114.0970213 22.5024531, 114.0973086 22.5024149, 114.0978751 22.5023362, 114.0982933 22.5022774, 114.0984191 22.5022603, 114.0984425 22.5022584, 114.098598 22.5022358)",,,,
6482141887,1700554314,0,1004100319,False,2,古洞路 Kwu Tung Road,tertiary,,True,614.321,"LINESTRING (114.091267 22.5034032, 114.0910523 22.5034273, 114.090815 22.5034699, 114.0905611 22.5035324, 114.0899703 22.5037224, 114.0897461 22.5038066, 114.0894768 22.5038898, 114.089364 22.5039246, 114.089241 22.5039426, 114.0890399 22.5039413, 114.0889425 22.5039259, 114.0888521 22.5039116, 114.0886348 22.503862, 114.088497 22.5038158, 114.0883312 22.5037602, 114.0878819 22.5035982, 114.0876941 22.5035467, 114.0855812 22.5028386)",,,,
7340291949,7340291952,0,785332946,True,2,惇裕路 Tun Yu Road,unclassified,,False,37.257,"LINESTRING (114.0800177 22.5023009, 114.0800929 22.5022336, 114.0801243 22.5021969, 114.0802141 22.5020959, 114.0802609 22.5020531)",,,,
7340291952,598503081,0,"[782352928, 845874633, 845874637]",True,2,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,39.932,"LINESTRING (114.0802609 22.5020531, 114.0804288 22.5021976, 114.0804961 22.5022536, 114.0805465 22.5022967)",yes,,,
7340291952,7340291953,0,845874641,True,,惇裕路 Tun Yu Road,unclassified,intersection,False,10.997,"LINESTRING (114.0802609 22.5020531, 114.0802996 22.5020185, 114.0803378 22.5019843)",,,,
7340291953,7340291961,0,845874636,True,,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,intersection,False,5.867,"LINESTRING (114.0803378 22.5019843, 114.0802974 22.501947)",,,,
7340291961,1492216059,0,845874635,True,2,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,14.423,"LINESTRING (114.0802974 22.501947, 114.080198 22.5018554)",,,,
7340291961,1305545757,0,845874640,True,,惇裕路 Tun Yu Road,unclassified,intersection,False,10.879,"LINESTRING (114.0802974 22.501947, 114.0802473 22.5019746, 114.0802065 22.5019972)",,,,
7340291964,1492216062,0,"[785332950, 785332951]",True,"['1', '2']",青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,72.219,"LINESTRING (114.0810842 22.5026856, 114.0809672 22.5026127, 114.0806558 22.5023208, 114.0806367 22.5023029, 114.0805928 22.5022292)",,,,
7340291964,1492216062,1,848445072,True,1,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,71.58500000000001,"LINESTRING (114.0810842 22.5026856, 114.0809862 22.5025953, 114.0806689 22.5023031, 114.0805928 22.5022292)",,,,
7591257482,6482141887,0,46875080,False,2,白石凹交匯處 Pak Shek Au Interchange,tertiary,,False,42.064,"LINESTRING (114.0912879 22.503781, 114.091267 22.5034032)",,,,
7591257482,598503103,0,"[1120836832, 1120836833, 46875079, 46875080, 46875081]",False,2,白石凹交匯處 Pak Shek Au Interchange,tertiary,,True,119.63000000000001,"LINESTRING (114.0912879 22.503781, 114.0912926 22.5038691, 114.0913055 22.5040055, 114.0913277 22.5043199, 114.0913409 22.5044709, 114.0913474 22.5045723, 114.0913543 22.5046802, 114.0913655 22.5048544)",yes,,,
7782712661,1362226361,0,"[1028820681, 121774183]",False,,波樓路 Po Lau Road,residential,,True,330.30600000000004,"LINESTRING (114.0992481 22.5050679, 114.0992069 22.5051164, 114.0991797 22.5051522, 114.0990604 22.505891, 114.0989412 22.5066819, 114.0989146 22.506855, 114.0988794 22.5069243, 114.098819 22.5069567, 114.0987695 22.5069708, 114.0987278 22.5069827, 114.0981081 22.507066, 114.0979922 22.5070863, 114.0979318 22.5071012, 114.0978623 22.5071422, 114.0977857 22.5072042)",,,,
7884099055,7782712661,0,845068343,True,2,,residential,,False,153.82700000000003,"LINESTRING (114.0994423 22.5037045, 114.09943 22.5037849, 114.0994119 22.5039, 114.0993621 22.5041873, 114.0993282 22.5043802, 114.0992243 22.5050047, 114.0992335 22.5050442, 114.0992481 22.5050679)",,,,
