u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge
7965680828,2868296666,0,282885051,False,,,residential,False,137.51,"LINESTRING (114.0391527 22.5310742, 114.0390872 22.5312595, 114.0389874 22.5314034, 114.0397544 22.5319098)",,
7965680841,7858813299,0,135913061,True,,滨河大道辅路,primary,False,91.64999999999999,"LINESTRING (114.0293953 22.5306395, 114.0292028 22.5306773, 114.029021 22.5307161, 114.0288448 22.5307558, 114.0286563 22.5307982, 114.0285294 22.5308367)",1,
7965680841,8184413602,0,961590242,True,,,primary_link,False,104.136,"LINESTRING (114.0293953 22.5306395, 114.0290308 22.5306829, 114.0287929 22.5307133, 114.0283913 22.5307697)",2,
7965680842,7965696352,0,282866327,False,,,residential,False,6.559,"LINESTRING (114.0370213 22.5311184, 114.0370091 22.5311763)",,
7965680842,7965680866,0,241489261,True,,福田新沙路,tertiary,False,117.01599999999999,"LINESTRING (114.0370213 22.5311184, 114.0370956 22.5311578, 114.0379308 22.5316007, 114.0380064 22.5316468)",,
7965680848,9730051942,0,135913061,True,,滨河大道辅路,primary,False,75.18,"LINESTRING (114.0361972 22.5307607, 114.03547 22.5306836)",1,
7965680866,7965696103,0,282866320,False,,,residential,False,6.459,"LINESTRING (114.0380064 22.5316468, 114.0379865 22.5317019)",,
7965680871,7965680848,0,135913061,True,,滨河大道辅路,primary,False,73.246,"LINESTRING (114.0369057 22.5308358, 114.0361972 22.5307607)",1,
7965680871,7965680842,0,241489261,True,,福田新沙路,tertiary,False,48.558,"LINESTRING (114.0369057 22.5308358, 114.0368752 22.5308444, 114.0368587 22.5308516, 114.0368441 22.5308607, 114.0368283 22.5308764, 114.0368169 22.5308936, 114.0368076 22.5309143, 114.0368045 22.5309334, 114.036805 22.5309562, 114.0368098 22.5309798, 114.0368231 22.5310023, 114.0368409 22.5310226, 114.0370213 22.5311184)",,
7965696103,7965680866,0,282866320,False,,,residential,True,6.459,"LINESTRING (114.0379865 22.5317019, 114.0380064 22.5316468)",,
7965696103,7965696352,0,135913045,True,,福田新沙路,tertiary,False,116.186,"LINESTRING (114.0379865 22.5317019, 114.0379062 22.5316516, 114.037279 22.5313207, 114.0370823 22.5312154, 114.0370328 22.5311889, 114.0370091 22.5311763)",,
7965696103,2868134374,0,282866320,False,,,residential,False,125.011,"LINESTRING (114.0379865 22.5317019, 114.0378049 22.5322043, 114.0376011 22.5327683)",,
7965696352,7965680842,0,282866327,False,,,residential,True,6.559,"LINESTRING (114.0370091 22.5311763, 114.0370213 22.5311184)",,
7965696352,7965680848,0,135913045,True,,福田新沙路,tertiary,False,95.707,"LINESTRING (114.0370091 22.5311763, 114.0367997 22.5310642, 114.0364147 22.5308412, 114.0363649 22.5308146, 114.0363131 22.5307939, 114.0362643 22.530778, 114.0361972 22.5307607)",,
7965696352,9706857112,0,282866327,False,,,residential,False,223.58599999999998,"LINESTRING (114.0370091 22.5311763, 114.0369592 22.5314113, 114.0365411 22.5312582, 114.0363943 22.5312659, 114.0359564 22.5311517, 114.0358266 22.5311013, 114.0357654 22.5310912, 114.035708 22.5310878, 114.035648 22.5310979, 114.0355881 22.5311047, 114.0355282 22.5311205, 114.035472 22.5311217, 114.0354231 22.5311183, 114.0353619 22.5310979, 114.0351308 22.5310065)",,
7973099572,7973114555,0,536764374,True,,泰然一路,tertiary,False,281.044,"LINESTRING (114.0272607 22.5398499, 114.027341 22.53985, 114.0273768 22.5398452, 114.0274022 22.5398375, 114.0274253 22.5398261, 114.027451 22.5398064, 114.0274664 22.539792, 114.0274827 22.5397737, 114.0274979 22.5397535, 114.0275102 22.5397298, 114.0275202 22.5397021, 114.0275439 22.5396083, 114.0277234 22.5387834, 114.0277342 22.5387336, 114.0279702 22.5376492, 114.0280014 22.5375311)",,
7973099572,7973114535,0,837565287,True,,深南大道辅路,secondary,False,58.638000000000005,"LINESTRING (114.0272607 22.5398499, 114.0275745 22.5399024, 114.0278224 22.5399445)",2,
7973114554,7973114556,0,135913053,True,,泰然一路,tertiary,False,6.297,"LINESTRING (114.0280152 22.537479, 114.0280243 22.537535)",,
7973114555,7973114554,0,536764374,True,,泰然一路,tertiary,False,5.964,"LINESTRING (114.0280014 22.5375311, 114.0280152 22.537479)",,
7973114555,7973114560,0,135906447,True,,泰然四路,tertiary,False,102.58099999999999,"LINESTRING (114.0280014 22.5375311, 114.0278764 22.5375092, 114.0270187 22.5373661)",,
7973114556,7973114555,0,135906447,True,,泰然四路,tertiary,False,2.392,"LINESTRING (114.0280243 22.537535, 114.0280014 22.5375311)",,
7973114556,7973114535,0,135913053,True,,泰然一路,tertiary,False,280.0949999999999,"LINESTRING (114.0280243 22.537535, 114.0280447 22.5376617, 114.0278043 22.5387462, 114.0277934 22.5387954, 114.0276534 22.5394271, 114.0276372 22.5395081, 114.0276298 22.5395647, 114.0276275 22.5396246, 114.027631 22.5396774, 114.0276385 22.5397284, 114.027649 22.5397665, 114.0276665 22.5398038, 114.0276937 22.5398449, 114.027723 22.5398777, 114.0277613 22.5399112, 114.0277854 22.5399271, 114.0278027 22.5399367, 114.0278224 22.5399445)",,
7973114560,7973114561,0,135906447,True,,泰然四路,tertiary,False,4.864,"LINESTRING (114.0270187 22.5373661, 114.0269721 22.5373583)",,
7973114561,7973114644,0,854903589,True,,泰然三路,residential,False,6.361,"LINESTRING (114.0269721 22.5373583, 114.0269842 22.5373022)",,
7973114561,7973114629,0,135906447,True,,泰然四路,tertiary,False,190.334,"LINESTRING (114.0269721 22.5373583, 114.0265531 22.5372883, 114.0264998 22.5372795, 114.0251484 22.5370539)",,
