u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,access,bridge,maxspeed,tunnel
2268995297,9577362646,0,217604716,False,,residential,True,177.28,"LINESTRING (114.0467206 22.5244719, 114.0467727 22.5244776, 114.0467816 22.5244786, 114.0468225 22.5244736, 114.0468624 22.5244623, 114.0468715 22.52446, 114.0469238 22.5244439, 114.0470183 22.5244104, 114.0470713 22.52439, 114.0471753 22.5243491, 114.0472068 22.5243367, 114.0472745 22.5243101, 114.047302 22.5242989, 114.0473154 22.5242928, 114.0473295 22.5242822, 114.0473422 22.5242636, 114.047354 22.5242416, 114.0473744 22.5242036, 114.0473979 22.5241447, 114.0474093 22.5241045, 114.047416 22.5240623, 114.0474254 22.5239338, 114.0474294 22.5235229, 114.0474339 22.5233062)",1,,,,
2268995297,8167985636,0,684241532,False,,residential,False,137.183,"LINESTRING (114.0467206 22.5244719, 114.0467207 22.5245691, 114.0467198 22.5247971, 114.0467196 22.5248493, 114.0467194 22.5248808, 114.0467184 22.5251036, 114.0467168 22.5254771, 114.0467165 22.5255428, 114.046705 22.5255775, 114.046665 22.5256985)",,,,,
2268995301,8289756736,0,217604716,False,,residential,False,117.165,"LINESTRING (114.044786 22.5238236, 114.0437232 22.5242063)",1,,,,
2268995301,2868296660,0,217604716,False,,residential,True,110.03099999999999,"LINESTRING (114.044786 22.5238236, 114.0448747 22.5238536, 114.0457925 22.5241624)",1,,,,
2268995301,2868296646,0,282885042,False,,residential,False,77.429,"LINESTRING (114.044786 22.5238236, 114.0447846 22.5235739, 114.0447864 22.5232315, 114.0447912 22.5232038, 114.0447972 22.5231863, 114.0448212 22.5231329)",,,,,
2458982112,8167985791,0,996181397,True,益田路,secondary,False,124.322,"LINESTRING (114.0513747 22.5287894, 114.0513948 22.5276715)",3,,,,
2458982112,5269888957,0,1059312563,False,石厦北七街,residential,False,16.589,"LINESTRING (114.0513747 22.5287894, 114.0512132 22.5287877)",2,,,,
2530287119,8869177732,0,996752257,True,益田路,secondary,False,8.729,"LINESTRING (114.0515471 22.5257674, 114.0515466 22.5258459)",3,,,,
2530287119,8167985854,0,245930463,True,福民路,secondary,False,49.288000000000004,"LINESTRING (114.0515471 22.5257674, 114.0516359 22.5257688, 114.0516813 22.5257696, 114.0520269 22.525775)",2,,,,
2530287123,8289756746,0,1097607716,True,福民路,secondary,False,14.277,"LINESTRING (114.0443254 22.5256716, 114.0444644 22.5256722)",2,,,,
