u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,name,ref,maxspeed,access,bridge
2653614537,269920080,0,25423077,True,,trunk,False,898.87,"LINESTRING (114.0759439 22.53193, 114.0715215 22.5318687, 114.0671931 22.5318095)",滨河大道,S550,,,
2653614544,2653614555,0,260266061,True,2,primary,False,236.11,"LINESTRING (114.0746834 22.5320348, 114.0723851 22.5319876)",滨河大道辅路,,40,yes,
2653614544,2784878498,0,50933378,False,,secondary,False,148.91899999999998,"LINESTRING (114.0746834 22.5320348, 114.0746862 22.5327519, 114.0746901 22.5328201, 114.0747002 22.5328784, 114.0747161 22.5329332, 114.0747398 22.5329867, 114.0747714 22.5330431, 114.0748123 22.5331009, 114.0749756 22.5332974)",福星路,,,,
2653614550,2653614528,0,40998266,True,,primary,False,99.492,"LINESTRING (114.0715482 22.5316139, 114.0725166 22.5316358)",滨河大道辅路,,,,
2653614550,295803668,0,1036811489,True,,primary_link,False,56.32,"LINESTRING (114.0715482 22.5316139, 114.0716661 22.5315911, 114.0717248 22.5315689, 114.0717684 22.5315398, 114.0718045 22.5314978, 114.0718333 22.5314439, 114.0718496 22.5313807, 114.0718531 22.5312725)",福田南路,,,,
2653614555,2653614515,0,1051842304,True,2,primary,False,66.426,"LINESTRING (114.0723851 22.5319876, 114.0717386 22.5319709)",滨河大道辅路,,40,yes,
2653614555,7993875250,0,"[1120977003, 217822804]",True,,"['secondary', 'primary_link']",False,449.186,"LINESTRING (114.0723851 22.5319876, 114.072332 22.5320096, 114.0722956 22.5320288, 114.072269 22.5320497, 114.0722428 22.5320748, 114.0722193 22.5321032, 114.0721824 22.5321628, 114.0721623 22.5322085, 114.0721441 22.5322613, 114.0721303 22.532323, 114.0721243 22.5324027, 114.0721226 22.5324781, 114.0720864 22.5347542, 114.0720854 22.5348168, 114.0720677 22.5359303)",福田路,,,,
2657406464,2653614544,0,260266061,True,2,primary,False,44.894,"LINESTRING (114.0751204 22.5320439, 114.0746834 22.5320348)",滨河大道辅路,,40,yes,
2657406467,2653614537,0,25423077,True,,trunk,False,605.262,"LINESTRING (114.0794264 22.5358974, 114.079326 22.535752, 114.0792123 22.5355656, 114.0791141 22.5353886, 114.0790071 22.5351934, 114.0788655 22.5349381, 114.0777309 22.5328159, 114.0776438 22.5326743, 114.0775599 22.532565, 114.0774469 22.5324405, 114.0773194 22.5323294, 114.0771905 22.5322314, 114.0770381 22.5321417, 114.0768461 22.532066, 114.0766423 22.5320003, 114.0764333 22.5319584, 114.0761742 22.5319332, 114.0759439 22.53193)",滨河大道,S550,,,
2657406467,1699066586,0,260266062,True,,trunk_link,False,68.11500000000001,"LINESTRING (114.0794264 22.5358974, 114.0793508 22.5358262, 114.079068 22.535564, 114.0789703 22.5354534)",,,,,
2657406468,2657406464,0,260266061,True,2,primary,False,262.234,"LINESTRING (114.0774606 22.5326878, 114.0773963 22.5326059, 114.0773381 22.5325436, 114.077268 22.5324803, 114.0771776 22.5324103, 114.0770868 22.5323512, 114.0769929 22.5322968, 114.0768829 22.5322389, 114.0767606 22.5321884, 114.0766617 22.5321565, 114.0765455 22.5321236, 114.0764402 22.5321035, 114.0763393 22.5320895, 114.0762415 22.5320802, 114.0761299 22.5320714, 114.0751204 22.5320439)",滨河大道辅路,,40,yes,
2657406468,649484276,0,817826921,False,,residential,True,244.748,"LINESTRING (114.0774606 22.5326878, 114.0773094 22.532806, 114.0756645 22.5341343)",福宁街,,,,
2657406918,2657406925,0,260313741,True,,primary,False,137.24399999999997,"LINESTRING (114.0764884 22.5316869, 114.0767018 22.5317289, 114.076885 22.5317783, 114.0770674 22.531854, 114.0772328 22.5319381, 114.0774121 22.5320516, 114.0775416 22.5321551, 114.0776462 22.5322542)",滨河大道辅路,,,,
2657406918,2880454767,0,284305574,True,,residential,False,88.014,"LINESTRING (114.0764884 22.5316869, 114.0767098 22.5317127, 114.0768674 22.531741, 114.0769829 22.5317654, 114.0771452 22.5318051, 114.0773243 22.5318543)",,,,,
2657406921,2657406924,0,260266161,True,,trunk_link,False,51.051,"LINESTRING (114.0756707 22.5317806, 114.0761505 22.5316607)",滨河大道辅路,,,,
