u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge,tunnel
3012276532,3012276511,0,1050747503,True,,宝岗路,secondary,False,111.45,"LINESTRING (114.1071428 22.5738565, 114.1072929 22.5735843, 114.1074086 22.5734031, 114.107548 22.5731832, 114.1076651 22.5729783)",,,
3012277438,9553523418,0,1050747505,True,,梨园路,tertiary,False,8.471,"LINESTRING (114.1079591 22.5724157, 114.1078797 22.572395)",2,,
3012277438,3012276531,0,1050747500,True,,宝岗路,secondary,False,70.12,"LINESTRING (114.1079591 22.5724157, 114.1079444 22.5725436, 114.1079203 22.5726414, 114.1078787 22.5727628, 114.1078218 22.5728887, 114.1077613 22.5730148)",,,
3012277449,3012450137,0,996519941,True,,泥岗路辅路,primary,False,173.35399999999998,"LINESTRING (114.1069172 22.5751067, 114.1064333 22.5748219, 114.1055102 22.5742452)",,,
3012425744,3012276532,0,"[297367957, 297352974]",True,,清水河三路,tertiary,False,453.474,"LINESTRING (114.1052457 22.5775221, 114.1053255 22.577413, 114.1056374 22.5770153, 114.105732 22.5768818, 114.1058352 22.5767157, 114.105908 22.5765907, 114.1059757 22.5764509, 114.1063878 22.5755186, 114.1068974 22.5744067, 114.1070487 22.5740606, 114.1070546 22.5740479, 114.1071428 22.5738565)",,yes,
3012425744,3012450190,0,297370083,True,,,residential,False,240.08200000000002,"LINESTRING (114.1052457 22.5775221, 114.1053556 22.5772846, 114.1054254 22.5771732, 114.1056453 22.5767967, 114.1058062 22.5764847, 114.1059028 22.5762543, 114.1060128 22.5759249, 114.1061066 22.5756748, 114.1061652 22.5755431)",,,
3012449803,3012449830,0,297370067,False,,,residential,True,87.362,"LINESTRING (114.1046644 22.5738015, 114.1042101 22.5744658)",,,
3012449803,8264180493,0,894257286,True,,泥岗路辅路,primary,False,263.954,"LINESTRING (114.1046644 22.5738015, 114.1043771 22.5736457, 114.1042136 22.5735552, 114.1040632 22.573469, 114.1039321 22.5733909, 114.1024975 22.572525)",,,
3012449814,3012449830,0,297370070,False,,,residential,True,97.191,"LINESTRING (114.1050059 22.5749391, 114.1042101 22.5744658)",,,
3012449814,3012450170,0,297370068,False,,,residential,True,102.35900000000001,"LINESTRING (114.1050059 22.5749391, 114.1047655 22.5753033, 114.1044946 22.5757293)",,,
3012449814,3012450137,0,894250987,False,,,residential,False,92.936,"LINESTRING (114.1050059 22.5749391, 114.1052564 22.5746073, 114.1053473 22.5744782, 114.1055102 22.5742452)",,,
3012449814,3012450144,0,894250988,False,,,residential,False,67.66799999999999,"LINESTRING (114.1050059 22.5749391, 114.1051542 22.5749785, 114.1055943 22.5752067)",,,
3012449821,3012450177,0,894250990,False,,,residential,False,79.686,"LINESTRING (114.1022061 22.5723491, 114.1021682 22.5724025, 114.101817 22.572897, 114.1018446 22.5729529)",,,
3012449821,2788962652,0,997152256,True,,泥岗路辅路,primary,False,82.90899999999999,"LINESTRING (114.1022061 22.5723491, 114.1021547 22.5723181, 114.1020741 22.5722723, 114.1020093 22.5722329, 114.1019311 22.572185, 114.1017434 22.5720694, 114.1015303 22.5719411)",,,
3012449827,3012450144,0,297370066,False,,,residential,False,25.546,"LINESTRING (114.1054683 22.5754048, 114.1055943 22.5752067)",,,
3012449830,3012449803,0,297370067,False,,,residential,False,87.362,"LINESTRING (114.1042101 22.5744658, 114.1046644 22.5738015)",,,
3012449830,3012449814,0,297370070,False,,,residential,False,97.191,"LINESTRING (114.1042101 22.5744658, 114.1050059 22.5749391)",,,
3012449830,3012450172,0,297370070,False,,,residential,True,60.123,"LINESTRING (114.1042101 22.5744658, 114.1037188 22.5741716)",,,
3012449830,3012450204,0,297370067,False,,,residential,True,115.47,"LINESTRING (114.1042101 22.5744658, 114.1038503 22.5749875, 114.103606 22.5753417)",,,
3012449831,3012450145,0,297370081,False,,,residential,True,51.708,"LINESTRING (114.1016593 22.573438, 114.101732 22.5731882, 114.1017749 22.5731114, 114.1018621 22.5730225)",,,
3012450137,2788962649,0,894257286,True,,泥岗路辅路,primary,False,29.183,"LINESTRING (114.1055102 22.5742452, 114.1052553 22.5741291)",,,
3012450137,3012449814,0,894250987,False,,,residential,True,92.936,"LINESTRING (114.1055102 22.5742452, 114.1053473 22.5744782, 114.1052564 22.5746073, 114.1050059 22.5749391)",,,
3012450138,3012450172,0,297370085,False,,,residential,False,60.78,"LINESTRING (114.1032876 22.5742185, 114.1035612 22.5743745, 114.1037188 22.5741716)",,,
3012450144,3012450148,0,297370066,False,,,residential,False,68.437,"LINESTRING (114.1055943 22.5752067, 114.1059377 22.5746792)",,,
3012450144,3012449827,0,297370066,False,,,residential,True,25.546,"LINESTRING (114.1055943 22.5752067, 114.1054683 22.5754048)",,,
3012450144,3012450190,0,894250988,False,,,residential,False,69.535,"LINESTRING (114.1055943 22.5752067, 114.1061652 22.5755431)",,,
3012450144,3012449814,0,894250988,False,,,residential,True,67.66799999999999,"LINESTRING (114.1055943 22.5752067, 114.1051542 22.5749785, 114.1050059 22.5749391)",,,
