u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,junction
4991374455,1599358989,0,146667645,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,31.143,"LINESTRING (114.1538059 22.5064017, 114.1537344 22.5064161, 114.153674 22.5064489, 114.1536286 22.5064982, 114.1535958 22.5065755)",,roundabout
4991374455,9671682440,0,1120028220,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,54.927,"LINESTRING (114.1538059 22.5064017, 114.1537277 22.5063856, 114.1536323 22.5063474, 114.1535847 22.5063253, 114.1533239 22.5061934)",,
5043510593,7521489075,0,804132104,False,1,,residential,True,354.016,"LINESTRING (114.1479651 22.5073713, 114.1479353 22.5073708, 114.1478901 22.5073719, 114.1478607 22.5073907, 114.1477499 22.5075203, 114.1477245 22.5075437, 114.1476767 22.5075653, 114.147631 22.5075738, 114.1475832 22.507571, 114.1475415 22.5075578, 114.1474033 22.5074917, 114.1469469 22.5072733, 114.1464845 22.5071926, 114.1464004 22.5071698, 114.1463502 22.5071418, 114.1463163 22.5071083, 114.1462906 22.5070663, 114.1462778 22.5070188, 114.1462766 22.5069617, 114.1462825 22.5069207, 114.1463081 22.5068635, 114.1464914 22.5065895, 114.1465416 22.5065421, 114.1465942 22.5065065, 114.1466339 22.5064946, 114.1467109 22.5064849, 114.146757 22.5064835, 114.1468826 22.5064795, 114.1469211 22.5064925, 114.1469526 22.5065194, 114.1469678 22.506554, 114.1469736 22.5065939, 114.1469666 22.5067783, 114.1469561 22.5068128, 114.1469363 22.506856, 114.1469047 22.5069239)",,
5043510593,7521488974,0,804132105,False,1,,unclassified,False,154.179,"LINESTRING (114.1479651 22.5073713, 114.1479718 22.5073446, 114.1480111 22.5071923, 114.1480381 22.5071119, 114.1480966 22.506981, 114.1481347 22.5068956, 114.1481428 22.506869, 114.1481368 22.5068374, 114.148125 22.5068167, 114.1481175 22.5068037, 114.1481003 22.5067877, 114.1479137 22.506677, 114.1474957 22.5064647, 114.14744 22.5064373, 114.1474068 22.5064146, 114.1473953 22.5063953)",,
5043510593,1111289416,0,804132105,False,1,,unclassified,True,36.94,"LINESTRING (114.1479651 22.5073713, 114.1479634 22.5073994, 114.1479703 22.5074442, 114.147995 22.5075061, 114.1480281 22.5075581, 114.1480558 22.5075766, 114.1481535 22.5076218)",,
5292000763,7496893668,0,"[801531232, 1009484911, 1009484914, 1120028218, 1120028219, 783978333]",False,,龍馬路 Lung Ma Road,residential,"[False, True]",347.366,"LINESTRING (114.1574059 22.5041373, 114.1572946 22.5040953, 114.1567572 22.5038895, 114.1566277 22.5038391, 114.1565343 22.5038028, 114.1564221 22.5037592, 114.1563182 22.5037197, 114.1562952 22.5037109, 114.1562584 22.5036957, 114.1555744 22.5034266, 114.1552944 22.5033689, 114.1552213 22.5035734, 114.1551628 22.5036818, 114.1550761 22.5038426, 114.1549699 22.5040396, 114.1548301 22.5042559, 114.1548091 22.5042856)",,
5292000763,7496893668,1,801531233,False,,龍峻路 Lung Chun Road,residential,False,357.911,"LINESTRING (114.1574059 22.5041373, 114.157352 22.5042579, 114.1570936 22.504776, 114.157023 22.5049204, 114.1569243 22.5050634, 114.1568298 22.5051147, 114.1567405 22.5051404, 114.15667 22.5051471, 114.156561 22.5051323, 114.1565281 22.5051278, 114.1557568 22.5048261, 114.1556532 22.5047855, 114.155529 22.5047137, 114.1549804 22.5043824, 114.1549347 22.5043563, 114.1548091 22.5042856)",,
5343126848,5343169246,0,553561563,True,,聯捷街 Luen Chit Street,residential,False,20.116,"LINESTRING (114.1419086 22.5011112, 114.1419685 22.5010154, 114.141983 22.5009923, 114.1420036 22.5009531)",,
5343126848,1599358807,0,"[796753932, 146667564]",False,2,聯捷街 Luen Chit Street,residential,True,83.44,"LINESTRING (114.1419086 22.5011112, 114.1418999 22.5013399, 114.1418771 22.5016895, 114.1418758 22.5017258, 114.1418702 22.5018607)",,
5343126849,5343169239,0,553567066,True,,和睦路 Wo Muk Road,tertiary,False,12.558,"LINESTRING (114.1420323 22.5008958, 114.1419106 22.5008852)",,
