u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,access
2787061350,8158214409,0,996647538,笋岗西路,primary,True,False,438.498,"LINESTRING (114.0723398 22.5580269, 114.0725398 22.5580399, 114.0727244 22.5580628, 114.0728812 22.5581008, 114.0736266 22.5583389, 114.0737713 22.5583622, 114.0739029 22.5583778, 114.0740499 22.5583862, 114.0765548 22.5584474)",,60,,
2889056043,2889056092,0,285221684,,unclassified,False,False,68.425,"LINESTRING (114.0707176 22.5540814, 114.0713839 22.5540762)",,,,
2889056043,2889056903,0,285221684,,unclassified,False,True,80.526,"LINESTRING (114.0707176 22.5540814, 114.0699376 22.5540069)",,,,
2889056043,2889056936,0,285221677,,unclassified,False,False,78.874,"LINESTRING (114.0707176 22.5540814, 114.070672 22.5542325, 114.0704494 22.5547453)",,,,
2889056043,2889056089,0,285221677,,unclassified,False,True,145.644,"LINESTRING (114.0707176 22.5540814, 114.0708016 22.5532365, 114.0708035 22.5531352, 114.0707739 22.5530757, 114.0707069 22.5530138, 114.0706031 22.5528303)",,,,
2889056079,2889056912,0,285221690,,unclassified,False,True,93.297,"LINESTRING (114.0691861 22.5547676, 114.0692025 22.5539287)",,,,
2889056080,2889056912,0,285221690,,unclassified,False,False,132.136,"LINESTRING (114.0692609 22.5527416, 114.0692025 22.5539287)",,,,
2889056080,2889056918,0,285221679,,unclassified,False,False,74.733,"LINESTRING (114.0692609 22.5527416, 114.0693636 22.5527273, 114.0694741 22.5527306, 114.0696405 22.5527412, 114.0699862 22.5527634)",,,,
2889056080,2889056907,0,285221679,,unclassified,False,True,151.502,"LINESTRING (114.0692609 22.5527416, 114.0691627 22.5527733, 114.0690501 22.5528526, 114.068934 22.5529618, 114.0688106 22.553098, 114.0687194 22.5532392, 114.0686604 22.5533656, 114.0686362 22.5534894, 114.0686121 22.5538659)",,,,
2889056083,2889056090,0,285221698,,unclassified,False,True,72.341,"LINESTRING (114.0721606 22.5518583, 114.0722344 22.5512113)",,,,
2889056083,2889056913,0,285221673,,unclassified,False,True,243.277,"LINESTRING (114.0721606 22.5518583, 114.0722411 22.5520552, 114.0722867 22.5522088, 114.0723096 22.5526304, 114.0723766 22.554025)",,,,
2889056083,277667938,0,285221698,,unclassified,False,False,178.24099999999999,"LINESTRING (114.0721606 22.5518583, 114.0720909 22.5518669, 114.0718262 22.551862, 114.0712173 22.5518508, 114.0704258 22.5518402)",,,,
2889056089,2889056918,0,285221679,,unclassified,False,True,63.786,"LINESTRING (114.0706031 22.5528303, 114.0699862 22.5527634)",,,,
2889056089,2889056043,0,285221677,,unclassified,False,False,145.644,"LINESTRING (114.0706031 22.5528303, 114.0707069 22.5530138, 114.0707739 22.5530757, 114.0708035 22.5531352, 114.0708016 22.5532365, 114.0707176 22.5540814)",,,,
2889056089,277667938,0,285221677,,unclassified,False,True,111.786,"LINESTRING (114.0706031 22.5528303, 114.0705191 22.5525283, 114.0704851 22.5523051, 114.0704258 22.5518402)",,,,
2889056090,2889056083,0,285221698,,unclassified,False,False,72.341,"LINESTRING (114.0722344 22.5512113, 114.0721606 22.5518583)",,,,
2889056090,8046350931,0,996188193,红荔路,primary,True,False,192.793,"LINESTRING (114.0722344 22.5512113, 114.0720105 22.5511866, 114.0718599 22.5511707, 114.0717042 22.5511594, 114.0715588 22.5511547, 114.0714246 22.5511528, 114.0703604 22.551133)",,,,
2889056092,2889056913,0,285221684,,unclassified,False,False,102.1,"LINESTRING (114.0713839 22.5540762, 114.0723766 22.554025)",,,,
2889056092,2889056043,0,285221684,,unclassified,False,True,68.425,"LINESTRING (114.0713839 22.5540762, 114.0707176 22.5540814)",,,,
2889056092,2889056902,0,285221695,,unclassified,False,False,42.667,"LINESTRING (114.0713839 22.5540762, 114.0713801 22.5536925)",,,,
2889056092,2889056931,0,285221695,,unclassified,False,True,70.845,"LINESTRING (114.0713839 22.5540762, 114.07139 22.5547133)",,,,
