u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,bridge,lanes,access,tunnel
2278242507,8205488311,0,673002398,True,primary_link,False,33.080000000000005,"LINESTRING (114.1105835 22.537725, 114.1106692 22.5377265, 114.1107139 22.5377229, 114.1107485 22.5377129, 114.1107705 22.5377023, 114.1107911 22.5376873, 114.1108081 22.5376712, 114.1108217 22.5376542, 114.1108313 22.5376357, 114.1108408 22.5376048)",,,,,,
2278242507,8205488314,0,681165416,True,primary_link,False,24.971,"LINESTRING (114.1105835 22.537725, 114.110724 22.5377435, 114.11076 22.5377508, 114.1107914 22.5377619, 114.1108161 22.5377788)",,,,,,
2377780095,2377780118,0,229147412,False,residential,False,62.731,"LINESTRING (114.1154568 22.5374147, 114.1148463 22.5373971)",,,,,,
2377780096,6080174739,0,229147412,False,residential,False,12.419,"LINESTRING (114.1139074 22.5373684, 114.1137866 22.5373633)",,,,,,
2377780096,2377780118,0,229147412,False,residential,True,96.481,"LINESTRING (114.1139074 22.5373684, 114.1148463 22.5373971)",,,,,,
2377780096,5110321832,0,962639877,True,secondary,False,81.369,"LINESTRING (114.1139074 22.5373684, 114.1138589 22.5376786, 114.1138389 22.5378126, 114.1138227 22.5379525, 114.113813 22.5380946)",,人民南路,,,,
2377780098,1849090475,0,"[924059021, 229147407]",False,residential,True,199.69299999999998,"LINESTRING (114.1152101 22.5356533, 114.1162976 22.5365042, 114.1167039 22.5362058)",,,,,,
2377780099,2377780110,0,229147411,False,residential,True,39.153,"LINESTRING (114.1131369 22.5379647, 114.1135166 22.5379962)",,,,,,
2377780100,2377780109,0,229147413,False,residential,True,28.728,"LINESTRING (114.1138988 22.5367175, 114.1136233 22.5366728)",,,,,,
2377780100,1849090493,0,962639875,True,secondary,False,35.179,"LINESTRING (114.1138988 22.5367175, 114.1139733 22.5364087)",,人民南路,,,,
2377780103,2377780117,0,229147409,False,residential,False,15.811,"LINESTRING (114.1137608 22.5375118, 114.1136079 22.5374952)",,,,,,
2377780103,6080174739,0,962639875,True,secondary,False,16.724,"LINESTRING (114.1137608 22.5375118, 114.1137866 22.5373633)",,人民南路,,,,
2377780104,2377780118,0,229147403,False,residential,True,156.605,"LINESTRING (114.1148706 22.5359889, 114.1148463 22.5373971)",,,,,,
2377780109,2377780100,0,229147413,False,residential,False,28.728,"LINESTRING (114.1136233 22.5366728, 114.1138988 22.5367175)",,,,,,
2377780109,2377780116,0,229147413,False,residential,True,53.88,"LINESTRING (114.1136233 22.5366728, 114.1131047 22.5365996)",,,,,,
2377780109,2377780117,0,229147405,False,residential,True,92.22899999999998,"LINESTRING (114.1136233 22.5366728, 114.1135982 22.5368077, 114.1135741 22.5369836, 114.1135633 22.537162, 114.1135644 22.5372574, 114.1135805 22.5373466, 114.1136079 22.5374952)",,,,,,
2377780110,2377780117,0,229147405,False,residential,False,56.492,"LINESTRING (114.1135166 22.5379962, 114.1136079 22.5374952)",,,,,,
2377780110,2377780114,0,229147405,False,residential,True,20.525,"LINESTRING (114.1135166 22.5379962, 114.1134802 22.5381777)",,,,,,
2377780110,2377780099,0,229147411,False,residential,False,39.153,"LINESTRING (114.1135166 22.5379962, 114.1131369 22.5379647)",,,,,,
2377780110,2257730406,0,229147411,False,residential,True,17.57,"LINESTRING (114.1135166 22.5379962, 114.1136869 22.5380112)",,,,,,
2377780114,2377780110,0,229147405,False,residential,False,20.525,"LINESTRING (114.1134802 22.5381777, 114.1135166 22.5379962)",,,,,,
2377780115,2377780117,0,229147409,False,residential,True,42.529,"LINESTRING (114.1131959 22.5374568, 114.1136079 22.5374952)",,,,,,
2377780116,2377780109,0,229147413,False,residential,False,53.88,"LINESTRING (114.1131047 22.5365996, 114.1136233 22.5366728)",,,,,,
2377780117,2377780110,0,229147405,False,residential,True,56.492,"LINESTRING (114.1136079 22.5374952, 114.1135166 22.5379962)",,,,,,
2377780117,2377780115,0,229147409,False,residential,False,42.529,"LINESTRING (114.1136079 22.5374952, 114.1131959 22.5374568)",,,,,,
