u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,tunnel
2323527410,2323527440,0,223456774,上沙龙秋路,residential,False,True,209.033,"LINESTRING (114.0261905 22.5280066, 114.0262068 22.5280834, 114.0262058 22.5281248, 114.0261942 22.5281852, 114.0259843 22.5288549, 114.0259609 22.5289597, 114.0259471 22.5290522, 114.0259567 22.529144, 114.0260966 22.5297281, 114.0261044 22.5297713, 114.0261193 22.5298369)",,,,
2323527410,2323527344,0,865978119,上沙建文路,residential,False,False,195.35800000000003,"LINESTRING (114.0261905 22.5280066, 114.0270376 22.5266619, 114.0270864 22.5265749, 114.0271351 22.5264821)",,,,
2323527410,8577265898,0,923999673,,residential,False,True,29.23,"LINESTRING (114.0261905 22.5280066, 114.0261289 22.5280611, 114.0260588 22.5281061, 114.0259783 22.5281471, 114.0259579 22.5281547)",,,,
2323527428,8071647105,0,223456780,上沙东村九巷,residential,False,False,479.77899999999994,"LINESTRING (114.0255544 22.5240264, 114.027224 22.5231964, 114.0279186 22.522844, 114.0279575 22.5228236, 114.0279833 22.5228101, 114.0284224 22.5225797, 114.0295195 22.5220042, 114.0296423 22.5219393)",,,,
2323527428,8577265884,0,659870824,上沙建文路,residential,False,False,110.242,"LINESTRING (114.0255544 22.5240264, 114.0249621 22.5233099, 114.0249323 22.5232743, 114.0249025 22.5232388)",,,,
2323527428,2323527344,0,659870824,上沙建文路,residential,False,True,396.56300000000005,"LINESTRING (114.0255544 22.5240264, 114.0257674 22.5242887, 114.0258679 22.5244033, 114.0259633 22.5244904, 114.0260686 22.5245767, 114.0261733 22.5246512, 114.0265212 22.5248648, 114.0266012 22.5249161, 114.0270693 22.5252157, 114.027619 22.5255978, 114.0276524 22.5256251, 114.0276796 22.5256525, 114.027694 22.5256777, 114.0276988 22.5257051, 114.0276964 22.5257295, 114.0276892 22.5257546, 114.0276764 22.525785, 114.0276612 22.5258124, 114.0276411 22.5258383, 114.0272335 22.5263201, 114.0271924 22.5263826, 114.0271351 22.5264821)",,,,
2323527436,8577265883,0,659870824,上沙建文路,residential,False,True,7.422,"LINESTRING (114.0247321 22.5230353, 114.0247763 22.5230881)",,,,
2323527436,8071647079,0,223456776,福荣路,tertiary,True,False,500.896,"LINESTRING (114.0247321 22.5230353, 114.0248299 22.522981, 114.0248705 22.5229585, 114.0287585 22.5208052, 114.0288056 22.5207796, 114.0289153 22.5207201)",2,,,
2323527440,2323527410,0,223456774,上沙龙秋路,residential,False,False,209.03299999999996,"LINESTRING (114.0261193 22.5298369, 114.0261044 22.5297713, 114.0260966 22.5297281, 114.0259567 22.529144, 114.0259471 22.5290522, 114.0259609 22.5289597, 114.0259843 22.5288549, 114.0261942 22.5281852, 114.0262058 22.5281248, 114.0262068 22.5280834, 114.0261905 22.5280066)",,,,
2323527440,4981908097,0,638856655,福强路,primary_link,True,False,232.499,"LINESTRING (114.0261193 22.5298369, 114.0263864 22.529553, 114.0266535 22.5292993, 114.0268928 22.5291228, 114.0273032 22.5288701, 114.0278776 22.5285446)",,,,
2323527442,8068348864,0,223456786,新村路,residential,False,False,174.339,"LINESTRING (114.023046 22.5280992, 114.0227806 22.5276907, 114.0226236 22.5274492, 114.0221721 22.5267551)",2,,,
2323527442,9608997541,0,659870819,下沙街,residential,False,False,83.776,"LINESTRING (114.023046 22.5280992, 114.0229277 22.5281804, 114.0225888 22.5283894, 114.0223928 22.5285483)",,,,
2323527442,2323527366,0,659870819,下沙街,residential,False,True,59.997,"LINESTRING (114.023046 22.5280992, 114.023341 22.5278332, 114.0234826 22.5277432)",,,,
2323527471,1491785460,0,223456781,下沙大道,residential,False,True,52.273,"LINESTRING (114.0217837 22.5299301, 114.0214167 22.5296044)",2,,,
2323527471,2323527349,0,659870819,下沙街,residential,False,True,157.762,"LINESTRING (114.0217837 22.5299301, 114.0222403 22.5289168, 114.0223607 22.5286589, 114.0223764 22.5286441, 114.0223945 22.5286338)",,,,
2323527477,8071647074,0,223456775,,residential,True,False,12.778,"LINESTRING (114.0291105 22.5209083, 114.0290023 22.520965)",,,,
2323527477,8071647090,0,40954697,沙嘴路,tertiary,True,False,29.402,"LINESTRING (114.0291105 22.5209083, 114.0291373 22.5209478, 114.0291605 22.5209824, 114.0292612 22.5211331)",,,,
2323527539,8071647108,0,223456783,,residential,False,True,196.829,"LINESTRING (114.0293387 22.5248655, 114.0306298 22.5241361, 114.0308548 22.5240077, 114.0309732 22.5239415)",,,permissive,
2399021795,2399021838,0,231532380,,residential,True,False,14.401,"LINESTRING (114.0313956 22.5219159, 114.0313712 22.5219286, 114.0313437 22.5219336, 114.0313159 22.5219302, 114.0312906 22.521919, 114.0312705 22.5219009)",,,,
2399021795,2399038473,0,1044157152,,residential,False,False,81.608,"LINESTRING (114.0313956 22.5219159, 114.0318765 22.5223441, 114.0319082 22.5223709, 114.0319429 22.5223942, 114.0319831 22.5224001)",,,,
2399021821,8071647064,0,231534964,,residential,False,False,195.838,"LINESTRING (114.0312843 22.5217869, 114.0304797 22.5201902)",,,,
2399021821,2399021823,0,231532380,,residential,True,False,13.843,"LINESTRING (114.0312843 22.5217869, 114.0313046 22.521779, 114.0313318 22.5217722, 114.0313599 22.5217737, 114.0313861 22.5217833, 114.0314076 22.5218002)",,,,
2399021823,2399021795,0,231532380,,residential,True,False,14.360000000000003,"LINESTRING (114.0314076 22.5218002, 114.0314221 22.5218223, 114.0314284 22.5218474, 114.0314257 22.5218731, 114.0314144 22.5218968, 114.0313956 22.5219159)",,,,
2399021823,2399038444,0,231534933,,residential,False,False,118.45400000000001,"LINESTRING (114.0314076 22.5218002, 114.0315806 22.5216963, 114.0316508 22.5216293, 114.0317352 22.5215346, 114.0317924 22.521426, 114.0320415 22.5209397)",,,,
2399021838,8071647107,0,231532377,沙嘴中心路,residential,False,False,130.816,"LINESTRING (114.0312705 22.5219009, 114.0303201 22.5224839, 114.0302069 22.5225479)",,,,
2399021838,2399021821,0,231532380,,residential,True,False,13.834,"LINESTRING (114.0312705 22.5219009, 114.0312587 22.5218808, 114.0312535 22.5218584, 114.0312553 22.5218355, 114.0312677 22.52181, 114.0312843 22.5217869)",,,,
2399038433,2399038434,0,231534939,,residential,False,False,82.383,"LINESTRING (114.033401 22.5209001, 114.03383 22.5202741)",,,,
2399038433,2399038438,0,231534939,,residential,False,True,81.985,"LINESTRING (114.033401 22.5209001, 114.0329632 22.5215166)",,,,
2399038433,2399038475,0,231534954,,residential,False,False,59.797,"LINESTRING (114.033401 22.5209001, 114.033881 22.5212044)",,,,
2399038433,2399038480,0,231534954,,residential,False,True,28.813,"LINESTRING (114.033401 22.5209001, 114.0331697 22.5207535)",,,,
2399038434,2399038433,0,231534939,,residential,False,True,82.383,"LINESTRING (114.03383 22.5202741, 114.033401 22.5209001)",,,,
2399038434,2399038489,0,231534941,,residential,False,False,57.82,"LINESTRING (114.03383 22.5202741, 114.0342989 22.5205618)",,,,
2399038434,2399038481,0,231534941,,residential,False,True,27.963,"LINESTRING (114.03383 22.5202741, 114.0336032 22.520135)",,,,
2399038436,2399038438,0,231534939,,residential,False,False,82.782,"LINESTRING (114.0325106 22.5221326, 114.0329632 22.5215166)",,,,
2399038438,2399038469,0,231534931,,residential,False,False,58.968,"LINESTRING (114.0329632 22.5215166, 114.0334386 22.5218139)",,,,
2399038438,2399038474,0,231534931,,residential,False,True,30.64,"LINESTRING (114.0329632 22.5215166, 114.0327162 22.5213621)",,,,
2399038438,2399038433,0,231534939,,residential,False,False,81.985,"LINESTRING (114.0329632 22.5215166, 114.033401 22.5209001)",,,,
2399038438,2399038436,0,231534939,,residential,False,True,82.782,"LINESTRING (114.0329632 22.5215166, 114.0325106 22.5221326)",,,,
2399038444,2399038474,0,231534931,,residential,False,False,83.719,"LINESTRING (114.0320415 22.5209397, 114.0327162 22.5213621)",,,,
2399038444,2399038483,0,231534933,,residential,False,False,82.48400000000001,"LINESTRING (114.0320415 22.5209397, 114.0320966 22.5208409, 114.0321612 22.5207321, 114.0324678 22.5203121)",,,,
2399038444,2399021823,0,231534933,,residential,False,True,118.45400000000001,"LINESTRING (114.0320415 22.5209397, 114.0317924 22.521426, 114.0317352 22.5215346, 114.0316508 22.5216293, 114.0315806 22.5216963, 114.0314076 22.5218002)",,,,
2399038449,2399038451,0,231534966,,residential,False,True,76.289,"LINESTRING (114.0300714 22.5217073, 114.0307048 22.521349)",,,,
2399038450,2399038451,0,231534936,,residential,False,True,102.15,"LINESTRING (114.0302189 22.5219155, 114.0308385 22.5215612, 114.0307048 22.521349)",,,,
2399038451,2399038449,0,231534966,,residential,False,False,76.289,"LINESTRING (114.0307048 22.521349, 114.0300714 22.5217073)",,,,
2399038451,2399038450,0,231534936,,residential,False,False,102.15,"LINESTRING (114.0307048 22.521349, 114.0308385 22.5215612, 114.0302189 22.5219155)",,,,
