u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge
6779294002,6779294000,0,50177996,2,馬會道 Jockey Club Road,secondary,True,False,9.603,"LINESTRING (114.1262011 22.5131228, 114.1261925 22.5130368)",
7829788858,6779293973,0,839037656,,祝運街 Chuk Wan Street,residential,False,False,7.039,"LINESTRING (114.1211684 22.510884, 114.1212337 22.5108648)",
7829788858,6779293991,0,722711544,,寶運路 Po Wan Road,tertiary,True,False,246.344,"LINESTRING (114.1211684 22.510884, 114.1211746 22.5109005, 114.1211997 22.5109672, 114.1212962 22.511183, 114.1214227 22.5114008, 114.1215756 22.511629, 114.1216232 22.5116887, 114.1217312 22.511824, 114.1218847 22.5119575, 114.1220901 22.5121157, 114.1222845 22.5122237, 114.1224244 22.5122922, 114.1227465 22.5124534)",
7829788858,6779293986,0,839037656,,祝運街 Chuk Wan Street,residential,False,True,49.012,"LINESTRING (114.1211684 22.510884, 114.1208954 22.5109777, 114.1208385 22.5110008, 114.1208058 22.5110199, 114.1207484 22.5110779)",
7846277320,4995356588,0,"[411275801, 255289394, 840886086, 840886087]",1,,unclassified,False,False,163.524,"LINESTRING (114.1337877 22.5155946, 114.133752 22.5156441, 114.1337166 22.5157304, 114.1337157 22.5157415, 114.1337134 22.5157706, 114.1337391 22.5157914, 114.1338133 22.5158108, 114.1341226 22.5158525, 114.1341661 22.5158465, 114.1343224 22.5158048, 114.1343917 22.5157989, 114.1344722 22.5158048, 114.1345283 22.5158234, 114.1345719 22.5158335, 114.1346497 22.5158163, 114.1347105 22.5157851, 114.1348288 22.515704, 114.134893 22.5156275, 114.1349332 22.515546)",
7846277320,4129881168,0,411275801,1,,unclassified,False,True,272.55600000000004,"LINESTRING (114.1337877 22.5155946, 114.1338133 22.5155592, 114.1338906 22.515461, 114.1339148 22.5153851, 114.1339067 22.5153494, 114.1338736 22.5153314, 114.1337239 22.5152923, 114.1336385 22.5152607, 114.1335477 22.5152003, 114.1334816 22.5151334, 114.133432 22.5150492, 114.1333913 22.5149691, 114.1333628 22.5148828, 114.1333801 22.5143484, 114.1333529 22.5141997, 114.1333199 22.514134, 114.1332606 22.5140758, 114.1331885 22.5140412, 114.1330504 22.5139929, 114.1326496 22.5138716)",
7846277320,7846277326,0,"[840886088, 840886090, 957154094]",1,,residential,False,True,234.275,"LINESTRING (114.1337877 22.5155946, 114.1337454 22.5155668, 114.1336406 22.515498, 114.1335922 22.5154727, 114.1335425 22.5154729, 114.1333698 22.5153133, 114.1332551 22.5151577, 114.133144 22.5149405, 114.1331229 22.5148735, 114.1329415 22.5149197, 114.1327805 22.5149607, 114.1325565 22.5150257, 114.1323622 22.5151471, 114.1322678 22.5152223, 114.1321123 22.5154172)",
7846277326,7846277320,0,"[840886088, 840886090, 957154094]",1,,residential,False,False,234.27499999999995,"LINESTRING (114.1321123 22.5154172, 114.1322678 22.5152223, 114.1323622 22.5151471, 114.1325565 22.5150257, 114.1327805 22.5149607, 114.1329415 22.5149197, 114.1331229 22.5148735, 114.133144 22.5149405, 114.1332551 22.5151577, 114.1333698 22.5153133, 114.1335425 22.5154729, 114.1335922 22.5154727, 114.1336406 22.515498, 114.1337454 22.5155668, 114.1337877 22.5155946)",
7892787432,7892787440,0,845982013,1,,residential,False,False,68.946,"LINESTRING (114.1218678 22.5155871, 114.1218231 22.515765, 114.1218278 22.515839, 114.1218832 22.5160425, 114.1219125 22.5160781, 114.1219849 22.5161108, 114.1220219 22.5161081)",
7892787440,4449493381,0,"[845982013, 845982014]",1,,residential,False,False,190.50799999999998,"LINESTRING (114.1220219 22.5161081, 114.122102 22.5161023, 114.1222483 22.5160767, 114.1225128 22.5160232, 114.1226454 22.5160232, 114.1231317 22.5160864, 114.1238485 22.5162186)",
7892787440,7892787432,0,845982013,1,,residential,False,True,68.946,"LINESTRING (114.1220219 22.5161081, 114.1219849 22.5161108, 114.1219125 22.5160781, 114.1218832 22.5160425, 114.1218278 22.515839, 114.1218231 22.515765, 114.1218678 22.5155871)",
7892787440,7892787444,0,845982015,1,,residential,False,False,64.019,"LINESTRING (114.1220219 22.5161081, 114.1220234 22.516377, 114.1220142 22.5164566, 114.1219895 22.5165178, 114.121935 22.5165857, 114.1218854 22.5166475)",
