u,v,key,osmid,bridge,oneway,highway,reversed,length,lanes,ref,name,geometry,access,maxspeed
2784845948,2784308457,0,"[273649896, 273593618]",,True,"['primary', 'motorway_link']",False,498.655,,,百合路,"LINESTRING (114.0670481 22.5254689, 114.0674453 22.5262372, 114.0674866 22.5263149, 114.0675389 22.5263991, 114.0676008 22.5264899, 114.0676618 22.5265656, 114.0677175 22.5266213, 114.0677843 22.526665, 114.0678542 22.526692, 114.0679254 22.5267079, 114.0680009 22.5267167, 114.0680953 22.5267137, 114.0681891 22.5266992, 114.0682857 22.5266785, 114.0685034 22.5266108, 114.0688263 22.5265146, 114.0690299 22.5264583, 114.0691777 22.5264204, 114.0693016 22.5263906, 114.06943 22.5263625, 114.0695384 22.5263344, 114.070852 22.5259181, 114.0708854 22.525906, 114.0709843 22.5258704)",,
2784845951,598508320,0,46875335,,True,motorway_link,False,317.178,,,,"LINESTRING (114.0692642 22.5265862, 114.0689452 22.5266531, 114.0688419 22.5266772, 114.0682725 22.5268597, 114.0681706 22.5269029, 114.0680959 22.5269576, 114.0680339 22.5270188, 114.067974 22.5271083, 114.0679419 22.527195, 114.0679268 22.5272776, 114.0679221 22.5273901, 114.0679321 22.5275046, 114.0679513 22.5276067, 114.0680353 22.5279207, 114.0680763 22.5281417, 114.0680997 22.5283167, 114.0681183 22.5286002)",,
2784845951,2784846055,0,273649895,,False,residential,False,81.574,,,,"LINESTRING (114.0692642 22.5265862, 114.0693149 22.5267282, 114.0695241 22.5272794)",,
2784845982,2784846055,0,691561879,,False,residential,False,21.463,,,,"LINESTRING (114.0697175 22.5273525, 114.0695241 22.5272794)",,
2784845982,2784845984,0,691561878,,False,residential,False,156.716,,,,"LINESTRING (114.0697175 22.5273525, 114.0703378 22.5271635, 114.0711665 22.526911)",,
2784845982,2784845946,0,"[273649892, 691561879]",,False,residential,True,281.587,,,,"LINESTRING (114.0697175 22.5273525, 114.0701072 22.5284175, 114.07072 22.528234, 114.0715574 22.5279832)",,
2784845984,2784845946,0,273649890,,False,residential,True,125.802,,,,"LINESTRING (114.0711665 22.526911, 114.0715574 22.5279832)",,
2784845984,2784308499,0,691561878,,False,residential,False,19.3,,,,"LINESTRING (114.0711665 22.526911, 114.0712449 22.5268871, 114.0713445 22.5268554)",,
2784845984,2784845982,0,691561878,,False,residential,True,156.716,,,,"LINESTRING (114.0711665 22.526911, 114.0703378 22.5271635, 114.0697175 22.5273525)",,
2784845998,5435015996,0,"[135960964, 135960933]",yes,True,"['primary', 'primary_link']",False,276.084,,,,"LINESTRING (114.064825 22.5221643, 114.0650323 22.5224365, 114.0653368 22.5228362, 114.0656533 22.5232549, 114.0658764 22.5235482, 114.0660072 22.5237085, 114.0660998 22.52381, 114.0661516 22.5238577, 114.0662151 22.5239014, 114.0662784 22.5239279, 114.0663564 22.5239504, 114.0664257 22.5239605, 114.0664982 22.5239673, 114.0665482 22.5239686)",,
2784846013,1492217229,0,135960951,,False,unclassified,True,28.633,,,,"LINESTRING (114.0718536 22.5271282, 114.0715903 22.5272128)",,
2784846013,3084586665,0,273649891,,False,unclassified,False,145.886,,,,"LINESTRING (114.0718536 22.5271282, 114.0712702 22.525932)",,
2784846013,1492217234,0,"[273649886, 135960951]",,False,unclassified,False,117.321,,,,"LINESTRING (114.0718536 22.5271282, 114.0719176 22.5271076, 114.0721373 22.5277055, 114.0720738 22.5278259, 114.0718407 22.5278983)",,
2784846055,2784845982,0,691561879,,False,residential,True,21.463,,,,"LINESTRING (114.0695241 22.5272794, 114.0697175 22.5273525)",,
2784846055,2784845951,0,273649895,,False,residential,True,81.574,,,,"LINESTRING (114.0695241 22.5272794, 114.0693149 22.5267282, 114.0692642 22.5265862)",,
2876869778,7719250780,0,1036811498,,False,unclassified,True,14.617,,,百合二路,"LINESTRING (114.0686285 22.5249717, 114.0684938 22.5250141)",,
2876869778,7637610203,0,818964359,,True,residential,False,73.38,2,,同庆路,"LINESTRING (114.0686285 22.5249717, 114.0688385 22.5255352, 114.068861 22.5255957)",,
3084586665,2784846013,0,273649891,,False,unclassified,True,145.886,,,,"LINESTRING (114.0712702 22.525932, 114.0718536 22.5271282)",,
3084586665,3084586845,0,303951153,,False,unclassified,False,195.65200000000002,,,,"LINESTRING (114.0712702 22.525932, 114.0718308 22.5257621, 114.0719387 22.5257994, 114.0726223 22.5255888, 114.0727691 22.52601)",,
