u,v,key,osmid,oneway,lanes,name,highway,reversed,length,bridge,geometry,ref,tunnel
5194055705,1342323032,0,119460311,False,,侨香四道,residential,True,238.571,,"LINESTRING (114.005592 22.5516769, 114.007134 22.5516879, 114.0079151 22.5516934)",,
5194055712,8986992883,0,536079049,False,,弘毅路,residential,True,9.151,,"LINESTRING (114.0055986 22.5500302, 114.0055983 22.5501125)",,
5273698084,1116534703,0,96336934,True,,,primary_link,False,154.13199999999998,,"LINESTRING (114.0135894 22.5595195, 114.0139326 22.5595872, 114.0141498 22.5596135, 114.0142557 22.5595975, 114.0143305 22.559574, 114.014402 22.5595383, 114.0144896 22.5594725, 114.0145707 22.5593792, 114.0146654 22.5592695, 114.0147694 22.5590404)",,
5273698084,6433474824,0,96336937,True,,北环大道辅路,primary,False,208.972,,"LINESTRING (114.0135894 22.5595195, 114.0143844 22.5597267, 114.0145216 22.5597566, 114.0151722 22.5598794, 114.0153167 22.5599002, 114.0155728 22.5599269)",,
5273698153,1116534532,0,627687972,True,,,primary_link,False,261.529,,"LINESTRING (114.01577 22.5568701, 114.0157727 22.5569611, 114.015771 22.557042, 114.0157664 22.5571335, 114.0157582 22.5572131, 114.0157472 22.5572984, 114.0157362 22.5573813, 114.015591 22.5583709, 114.015472 22.5592041)",,
5273698153,5273698158,0,1052240246,True,,香蜜湖路辅路,secondary,False,186.06900000000002,,"LINESTRING (114.01577 22.5568701, 114.0157314 22.5570078, 114.0156916 22.5571367, 114.0156233 22.5572978, 114.0153654 22.5579249, 114.0153274 22.558037, 114.0151957 22.5584555)",,
5273698158,1116534740,0,96336927,True,2,香蜜湖路,primary,False,34.771,,"LINESTRING (114.0151957 22.5584555, 114.0151336 22.5587629)",,
5273698163,2529006374,0,545681212,False,,,residential,True,21.708,,"LINESTRING (114.0151198 22.5566832, 114.0149089 22.5566698)",,
5273698163,8000086840,0,996207982,True,,香蜜湖路辅路,secondary,False,84.784,,"LINESTRING (114.0151198 22.5566832, 114.0151315 22.5566293, 114.0151434 22.5565875, 114.0151548 22.5565522, 114.0151706 22.5565092, 114.0152325 22.5563697, 114.0152537 22.5563186, 114.0152761 22.5562586, 114.0152961 22.5562014, 114.0153116 22.5561494, 114.0153274 22.5560864, 114.0153428 22.5560186, 114.0153551 22.5559545)",,
5273698182,7998551639,0,545681216,True,,,primary_link,False,113.89499999999997,,"LINESTRING (114.0163681 22.5544725, 114.0162206 22.5550052, 114.016213 22.5550371, 114.016208 22.5550634, 114.0162036 22.5550897, 114.0162017 22.5551103, 114.0162024 22.5551334, 114.0162052 22.5551565, 114.0162106 22.555177, 114.0162191 22.5551972, 114.01623 22.5552141, 114.0162415 22.5552281, 114.016257 22.5552425, 114.0162755 22.5552577, 114.0162951 22.5552705, 114.0163151 22.555282, 114.0163351 22.5552927, 114.0163556 22.5553023, 114.016376 22.5553109, 114.0163953 22.5553182, 114.0164143 22.5553236, 114.0164347 22.5553279, 114.0164522 22.5553304, 114.0164713 22.5553322)",,
5273698182,8000086948,0,1067522799,True,,香蜜湖路辅路,secondary,False,64.766,,"LINESTRING (114.0163681 22.5544725, 114.0162467 22.5546853, 114.0161942 22.55478, 114.0161476 22.554873, 114.0161152 22.5549481, 114.0160945 22.5549967)",,
