u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge
3068084266,3068084300,0,302558529,False,,洪湖五街,residential,True,49.671,"LINESTRING (114.1159694 22.5613958, 114.1160565 22.5610907, 114.1160971 22.560965)",,
3068084266,3068084263,0,302560109,False,,,residential,True,113.983,"LINESTRING (114.1159694 22.5613958, 114.1163682 22.5614839, 114.116195 22.5621102)",,
3068084267,2883526625,0,302560115,False,,,residential,True,83.201,"LINESTRING (114.1172977 22.5659866, 114.1180997 22.5658799)",,
3068084279,3068068011,0,302558529,False,,洪湖五街,residential,False,72.468,"LINESTRING (114.1156498 22.5625939, 114.115481 22.5632267)",,
3068084279,3068068044,0,302558529,False,,洪湖五街,residential,True,38.341,"LINESTRING (114.1156498 22.5625939, 114.1157391 22.5622591)",,
3068084279,3068084325,0,302560101,False,,,residential,True,151.428,"LINESTRING (114.1156498 22.5625939, 114.1171035 22.5628229)",,
3068084280,3068068003,0,302558535,False,,洪湖二街,tertiary,False,30.164,"LINESTRING (114.117078 22.563474, 114.1173677 22.5635189)",,
3068084280,3068084293,0,302558535,False,,洪湖二街,tertiary,True,35.722,"LINESTRING (114.117078 22.563474, 114.1167349 22.5634209)",,
3068084280,3068084325,0,302560110,False,,,residential,False,74.038,"LINESTRING (114.117078 22.563474, 114.1171606 22.5630015, 114.1171204 22.5629099, 114.1171035 22.5628229)",,
3068084292,581260691,0,302558535,False,,洪湖二街,tertiary,False,35.358,"LINESTRING (114.1181509 22.5636402, 114.1184905 22.5636928)",,
3068084292,3068068003,0,302558535,False,,洪湖二街,tertiary,True,81.545,"LINESTRING (114.1181509 22.5636402, 114.1173677 22.5635189)",,
3068084292,3068084331,0,302560113,False,,,residential,False,112.575,"LINESTRING (114.1181509 22.5636402, 114.1179378 22.5646333)",,
3068084293,3068084280,0,302558535,False,,洪湖二街,tertiary,False,35.722,"LINESTRING (114.1167349 22.5634209, 114.117078 22.563474)",,
3068084293,3068068011,0,302558535,False,,洪湖二街,tertiary,True,130.553,"LINESTRING (114.1167349 22.5634209, 114.115481 22.5632267)",,
3068084293,3068084343,0,302560119,False,,,residential,True,163.497,"LINESTRING (114.1167349 22.5634209, 114.1165566 22.5642444, 114.1163292 22.5645, 114.1164142 22.5647893)",,
3068084300,3068068014,0,302558529,False,,洪湖五街,residential,True,13.413,"LINESTRING (114.1160971 22.560965, 114.1161398 22.560851)",,
3068084300,3068084313,0,302560103,False,,,residential,True,39.31,"LINESTRING (114.1160971 22.560965, 114.1164694 22.5610473)",,
3068084300,3068084266,0,302558529,False,,洪湖五街,residential,False,49.671,"LINESTRING (114.1160971 22.560965, 114.1160565 22.5610907, 114.1159694 22.5613958)",,
3068084313,3068084300,0,302560103,False,,,residential,False,39.31,"LINESTRING (114.1164694 22.5610473, 114.1160971 22.560965)",,
3068084313,3068068010,0,302560103,False,,,residential,True,87.256,"LINESTRING (114.1164694 22.5610473, 114.1172941 22.5612364)",,
3068084313,3068068024,0,"[302560104, 302558538]",False,,,residential,"[False, True]",133.225,"LINESTRING (114.1164694 22.5610473, 114.1165459 22.5608312, 114.1169817 22.5604475, 114.1165935 22.560239)",,
3068084319,581260691,0,45586091,True,G205,文锦北路,trunk,False,157.981,"LINESTRING (114.11824 22.5650946, 114.1184905 22.5636928)",,
3068084319,3068084337,0,302560108,False,,,residential,False,46.778,"LINESTRING (114.11824 22.5650946, 114.1177894 22.5650327)",,
3068084325,3068084279,0,302560101,False,,,residential,False,151.428,"LINESTRING (114.1171035 22.5628229, 114.1156498 22.5625939)",,
3068084325,3068068004,0,"[302558533, 302560110]",False,,,residential,False,77.347,"LINESTRING (114.1171035 22.5628229, 114.1172003 22.5623446, 114.1169808 22.5622936)",,
3068084325,3068084280,0,302560110,False,,,residential,True,74.038,"LINESTRING (114.1171035 22.5628229, 114.1171204 22.5629099, 114.1171606 22.5630015, 114.117078 22.563474)",,
3068084331,3068084292,0,302560113,False,,,residential,True,112.575,"LINESTRING (114.1179378 22.5646333, 114.1181509 22.5636402)",,
3068084337,3068084319,0,302560108,False,,,residential,True,46.778,"LINESTRING (114.1177894 22.5650327, 114.11824 22.5650946)",,
