u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,bridge
5053181306,5053181284,0,"[780036985, 996207977]",False,,residential,True,514.326,"LINESTRING (114.007659 22.5676562, 114.0077462 22.5676673, 114.0078484 22.5676867, 114.0078994 22.5677366, 114.0079325 22.5678227, 114.0079355 22.5679031, 114.0079025 22.5679753, 114.0078874 22.5680447, 114.0078634 22.5681113, 114.0078544 22.5681862, 114.0078724 22.568275, 114.0079505 22.5683499, 114.0080347 22.5683999, 114.0081519 22.5684276, 114.009476 22.5684301, 114.009583 22.5684222, 114.0096879 22.5684099, 114.0097873 22.5683929, 114.0098926 22.5683687, 114.0099928 22.5683416, 114.0100757 22.5683188, 114.0095432 22.5666655)",,莲塘尾一路,,
5053181309,5053181223,0,517912081,False,,residential,True,130.929,"LINESTRING (114.0123603 22.5657893, 114.0111544 22.5661719)",,莲塘尾二路,,
5053181309,5053181820,0,916571590,False,3,residential,False,14.439,"LINESTRING (114.0123603 22.5657893, 114.0124939 22.5657488)",,莲塘尾三路,,
5053181309,5053181448,0,996207986,False,,residential,False,259.213,"LINESTRING (114.0123603 22.5657893, 114.0122962 22.5655619, 114.0120744 22.5647993, 114.0120341 22.5646944, 114.0119678 22.5646093, 114.0118972 22.5645432, 114.0118121 22.5644891, 114.0117063 22.5644565, 114.0115848 22.564447, 114.0114459 22.5644449, 114.0108416 22.564429)",,莲塘尾二路,,
5053181447,5053181223,0,517912097,False,,residential,True,276.554,"LINESTRING (114.0114787 22.5679034, 114.0115042 22.5679034, 114.0115553 22.5678964, 114.0115948 22.5678822, 114.0116497 22.5678587, 114.0116918 22.5678221, 114.0119163 22.567391, 114.0119278 22.5671506, 114.0120796 22.5669657, 114.0120962 22.5669315, 114.0120975 22.5668973, 114.0120975 22.5668608, 114.0120843 22.5668208, 114.0117112 22.566314, 114.0116755 22.566279, 114.0116296 22.5662515, 114.0115746 22.5662346, 114.0115134 22.566229, 114.0113619 22.5662328, 114.01128 22.5662251, 114.0112131 22.566206, 114.0111544 22.5661719)",,,,
5053181448,5053181275,0,545681209,False,,residential,True,10.095,"LINESTRING (114.0108416 22.564429, 114.0108287 22.564339)",,莲塘尾一路,,
5053181448,5053181274,0,545681209,False,,residential,False,86.41,"LINESTRING (114.0108416 22.564429, 114.0108424 22.5645357, 114.0108301 22.565206)",,莲塘尾一路,,
5053181448,5053181309,0,996207986,False,,residential,True,259.213,"LINESTRING (114.0108416 22.564429, 114.0114459 22.5644449, 114.0115848 22.564447, 114.0117063 22.5644565, 114.0118121 22.5644891, 114.0118972 22.5645432, 114.0119678 22.5646093, 114.0120341 22.5646944, 114.0120744 22.5647993, 114.0122962 22.5655619, 114.0123603 22.5657893)",,莲塘尾二路,,
5053181472,5053181284,0,517912071,False,,residential,False,206.517,"LINESTRING (114.0091301 22.5649318, 114.0090416 22.565066, 114.0090048 22.5651568, 114.0089898 22.565253, 114.0090022 22.5653674, 114.0090437 22.5654797, 114.009479 22.566513, 114.0095432 22.5666655)",,莲塘尾一路,,
5053181472,5053181275,0,517912071,False,,residential,True,189.752,"LINESTRING (114.0091301 22.5649318, 114.0091871 22.5648555, 114.0092439 22.5648077, 114.0093351 22.5647464, 114.0094517 22.5647053, 114.0105105 22.5644311, 114.0108287 22.564339)",,莲塘尾一路,,
5053181472,5053181274,0,517912117,False,,residential,True,205.59799999999996,"LINESTRING (114.0091301 22.5649318, 114.0096438 22.5654172, 114.0096824 22.5654556, 114.0097537 22.5654776, 114.0098429 22.5654584, 114.0099172 22.5654227, 114.0100034 22.5653651, 114.0100688 22.5653184, 114.0101431 22.5653074, 114.0108301 22.565206)",,,,
5053181727,5053181252,0,517912139,False,,residential,True,94.642,"LINESTRING (114.0017289 22.5648481, 114.0017403 22.5643841, 114.0018762 22.564018)",,,,
5053181733,5053181747,0,517912141,False,,residential,False,118.385,"LINESTRING (114.0020644 22.5632202, 114.0021613 22.5631009, 114.0022223 22.563065, 114.0022972 22.5630146, 114.0023498 22.562979, 114.0024025 22.5629454, 114.002443 22.5629005, 114.0024571 22.5628501, 114.0024591 22.5628071, 114.0024571 22.562751, 114.0024531 22.5626874, 114.0024247 22.5625958, 114.0024207 22.5625454, 114.0024187 22.5624781, 114.0024268 22.562321)",,,,
5053181733,5053181252,0,517912141,False,,residential,True,93.73,"LINESTRING (114.0020644 22.5632202, 114.0019308 22.563437, 114.0018579 22.5636857, 114.0018458 22.5637754, 114.0018458 22.5638614, 114.0018559 22.5639436, 114.0018762 22.564018)",,,,
5053181733,5053181755,0,517912144,False,,residential,False,101.904,"LINESTRING (114.0020644 22.5632202, 114.0025995 22.56302, 114.0026477 22.5629903, 114.0026861 22.5629492, 114.0027071 22.562916, 114.0027195 22.5628715, 114.0027195 22.5628235, 114.0027115 22.5627292, 114.0027003 22.5626818)",,,,
5053181747,5053181733,0,517912141,False,,residential,True,118.38499999999999,"LINESTRING (114.0024268 22.562321, 114.0024187 22.5624781, 114.0024207 22.5625454, 114.0024247 22.5625958, 114.0024531 22.5626874, 114.0024571 22.562751, 114.0024591 22.5628071, 114.0024571 22.5628501, 114.002443 22.5629005, 114.0024025 22.5629454, 114.0023498 22.562979, 114.0022972 22.5630146, 114.0022223 22.563065, 114.0021613 22.5631009, 114.0020644 22.5632202)",,,,
5053181755,5053181733,0,517912144,False,,residential,True,101.904,"LINESTRING (114.0027003 22.5626818, 114.0027115 22.5627292, 114.0027195 22.5628235, 114.0027195 22.5628715, 114.0027071 22.562916, 114.0026861 22.5629492, 114.0026477 22.5629903, 114.0025995 22.56302, 114.0020644 22.5632202)",,,,
5053181820,5053181309,0,916571590,False,3,residential,True,14.439,"LINESTRING (114.0124939 22.5657488, 114.0123603 22.5657893)",,莲塘尾三路,,
5053181820,5053181947,0,517912176,False,,unclassified,False,481.76,"LINESTRING (114.0124939 22.5657488, 114.0123531 22.5652907, 114.0122847 22.5651026, 114.0121861 22.5645695, 114.0121661 22.5644586, 114.0121289 22.5643345, 114.0120946 22.5642448, 114.0120832 22.564184, 114.012086 22.5641207, 114.0120975 22.5640573, 114.0121261 22.5640098, 114.0121775 22.5639623, 114.0122547 22.5639121, 114.0129122 22.563561, 114.0129515 22.5635314, 114.0129815 22.5635037, 114.013013 22.5634678, 114.0130474 22.5634152, 114.0132677 22.5627621, 114.0133067 22.5627136, 114.0133351 22.5626721, 114.0134145 22.5626016, 114.0135539 22.5624701, 114.0136723 22.5623843, 114.0137682 22.562347, 114.0138716 22.5623331, 114.013954 22.5623221)",,莲塘尾三路,,
5053181820,8512883930,0,"[916571586, 929768476, 916571589, 916571590]",False,3,residential,False,900.4429999999998,"LINESTRING (114.0124939 22.5657488, 114.0127981 22.5656565, 114.012871 22.5656339, 114.0129404 22.5656104, 114.0129971 22.5655859, 114.0130483 22.5655588, 114.013102 22.5655253, 114.0131464 22.5654898, 114.0131884 22.5654434, 114.0132246 22.5653884, 114.0132538 22.5653334, 114.0132783 22.5652731, 114.0132974 22.5652146, 114.0133467 22.5650411, 114.0133867 22.5648889, 114.0134298 22.5647082, 114.0134613 22.564563, 114.0134868 22.564428, 114.0135079 22.5642905, 114.013619 22.5634821, 114.0136225 22.5634384, 114.013629 22.5634027, 114.0136384 22.5633695, 114.0136511 22.5633401, 114.0136689 22.5633105, 114.0136932 22.5632738, 114.013715 22.5632456, 114.0137423 22.563221, 114.0137752 22.5632, 114.013812 22.5631839, 114.013855 22.5631721, 114.0138992 22.5631659, 114.0139515 22.5631647, 114.0139988 22.56317, 114.0144041 22.5632279, 114.0144656 22.5632327, 114.0145215 22.5632327, 114.0145662 22.5632289, 114.0146221 22.5632186, 114.0146567 22.5632064, 114.0146943 22.5631839, 114.0147298 22.5631529, 114.0147553 22.5631182, 114.0147736 22.5630619, 114.0147827 22.5630234, 114.0147942 22.5629671, 114.0149786 22.5618673, 114.0149928 22.5618036, 114.0150193 22.5617333, 114.0150512 22.5616679, 114.0150901 22.5616009, 114.015145 22.5615208, 114.0153182 22.5613434, 114.0153873 22.561278, 114.0154616 22.5612208, 114.0155411 22.5611772, 114.0156298 22.5611363, 114.0157396 22.5610942, 114.0158458 22.5610694, 114.0159661 22.5610554, 114.0160875 22.5610489, 114.0172369 22.561024, 114.0173019 22.5610071, 114.0173608 22.5609771, 114.0174137 22.5609302, 114.0174442 22.5608776, 114.0174523 22.560795)",,莲塘尾三路,30,yes
5053181947,5053181820,0,517912176,False,,unclassified,True,481.75999999999993,"LINESTRING (114.013954 22.5623221, 114.0138716 22.5623331, 114.0137682 22.562347, 114.0136723 22.5623843, 114.0135539 22.5624701, 114.0134145 22.5626016, 114.0133351 22.5626721, 114.0133067 22.5627136, 114.0132677 22.5627621, 114.0130474 22.5634152, 114.013013 22.5634678, 114.0129815 22.5635037, 114.0129515 22.5635314, 114.0129122 22.563561, 114.0122547 22.5639121, 114.0121775 22.5639623, 114.0121261 22.5640098, 114.0120975 22.5640573, 114.012086 22.5641207, 114.0120832 22.564184, 114.0120946 22.5642448, 114.0121289 22.5643345, 114.0121661 22.5644586, 114.0121861 22.5645695, 114.0122847 22.5651026, 114.0123531 22.5652907, 114.0124939 22.5657488)",,莲塘尾三路,,
5053181972,8512883930,0,517912177,False,,unclassified,False,383.1259999999999,"LINESTRING (114.015467 22.5613191, 114.0167084 22.5618656, 114.0167639 22.561868, 114.0168405 22.5618509, 114.0168986 22.5618217, 114.0171707 22.5616631, 114.0172288 22.5616436, 114.0173292 22.5616412, 114.0173899 22.5616534, 114.0174108 22.5616516, 114.0179202 22.5614705, 114.0179529 22.5614509, 114.0179652 22.5614324, 114.0179508 22.5613776, 114.01794 22.5613444, 114.0178735 22.5612929, 114.0177711 22.5612299, 114.0177172 22.5612183, 114.0176902 22.5611768, 114.017683 22.5610806, 114.0176741 22.5609249, 114.0175471 22.5607879, 114.0174523 22.560795)",,,,
5273698062,5273698063,0,545681202,True,,trunk_link,False,145.253,"LINESTRING (114.0142217 22.560079, 114.0128089 22.5600143)",,,,
8512883930,8512883931,0,929768476,False,3,residential,False,8.063,"LINESTRING (114.0174523 22.560795, 114.0174536 22.5607225)",,莲塘尾三路,30,
