u,v,key,osmid,oneway,name,highway,reversed,length,geometry,ref,lanes
3066594170,3066592228,0,302401685,True,,trunk_link,False,60.419,"LINESTRING (114.1321676 22.5616931, 114.1321282 22.5617972, 114.1321118 22.5618945, 114.132108 22.5619843, 114.1321136 22.5620634, 114.1321376 22.5621409, 114.1321804 22.562216)",,
3066594170,2921637200,0,996531095,True,怡景路,primary,False,36.391,"LINESTRING (114.1321676 22.5616931, 114.1320414 22.5618263, 114.1320059 22.5618589, 114.1319549 22.5618985, 114.1319175 22.5619233)",,
3066594172,3066594150,0,302401698,False,,residential,True,29.387999999999998,"LINESTRING (114.1358299 22.5635763, 114.135728 22.5636085, 114.1355714 22.5636876)",,
3066594174,3066592211,0,288609714,True,爱国路,trunk,False,89.098,"LINESTRING (114.1338676 22.5641862, 114.1344134 22.5648091)",G107,
3066594174,3066594188,0,302401703,False,翠芳街,residential,False,55.989000000000004,"LINESTRING (114.1338676 22.5641862, 114.133992 22.5640674, 114.1342466 22.5638242)",,
3066594188,3066592191,0,302401702,False,,residential,False,138.296,"LINESTRING (114.1342466 22.5638242, 114.1345371 22.5636654, 114.1346319 22.5635633, 114.1347634 22.563427, 114.1349099 22.5633187, 114.1350092 22.563279, 114.1350762 22.5632666, 114.135154 22.5632865, 114.1352354 22.5633329, 114.1353179 22.56342)",,
3066594188,3066592224,0,302401703,False,翠芳街,residential,False,323.545,"LINESTRING (114.1342466 22.5638242, 114.1344013 22.5636153, 114.1344844 22.5634567, 114.1345073 22.5633944, 114.1345505 22.5632765, 114.1346319 22.5631273, 114.1347231 22.5630059, 114.1347571 22.5629323, 114.1347678 22.5628307, 114.1347973 22.5626548, 114.1348322 22.5625706, 114.134859 22.562422, 114.1348492 22.5623421, 114.1348617 22.562261, 114.1349824 22.5619093, 114.1350611 22.5616436, 114.1351281 22.5614182, 114.135154 22.5613817, 114.1352184 22.5613644, 114.1354634 22.5613959)",,
3066594188,3066594174,0,302401703,False,翠芳街,residential,True,55.989000000000004,"LINESTRING (114.1342466 22.5638242, 114.133992 22.5640674, 114.1338676 22.5641862)",,
3924653944,2081275113,0,99002312,True,田贝四路,secondary,False,80.705,"LINESTRING (114.1232184 22.569575, 114.1224634 22.5693732)",,
4472714012,3066592209,0,31420408,False,黄贝路,tertiary,False,103.53800000000001,"LINESTRING (114.136531 22.5608426, 114.1367664 22.5611802, 114.1369024 22.5613754, 114.1370748 22.5616267)",,2
4472714139,350286854,0,"[996762409, 996762411]",False,黄贝路,tertiary,False,149.183,"LINESTRING (114.139789 22.5650197, 114.1398185 22.5651141, 114.1398083 22.56527, 114.139737 22.5663552)",,2
4472714139,3066529946,0,"[31420408, 996762411]",False,黄贝路,tertiary,True,78.359,"LINESTRING (114.139789 22.5650197, 114.1393862 22.5647158, 114.1393181 22.564662, 114.1392006 22.564571)",,2
4472714162,6001780252,0,636444596,False,,residential,True,235.67900000000003,"LINESTRING (114.1375799 22.5652005, 114.1373186 22.5654259, 114.137085 22.5653899, 114.1361179 22.5640979)",,
4472714272,3066594167,0,31420408,False,黄贝路,tertiary,True,68.475,"LINESTRING (114.1377213 22.5625493, 114.1373547 22.5620349)",,2
4472714272,3066529098,0,31420408,False,黄贝路,tertiary,False,205.39999999999998,"LINESTRING (114.1377213 22.5625493, 114.1387123 22.5639828, 114.1387934 22.5641087)",,2
4472714272,6001780252,0,99005144,False,碧波一街,tertiary,True,238.242,"LINESTRING (114.1377213 22.5625493, 114.1366209 22.5636121, 114.1361179 22.5640979)",,
5187516406,6798161743,0,284630443,True,田贝四路,secondary,False,101.523,"LINESTRING (114.1235379 22.5695734, 114.1244865 22.5698309)",,
5187516406,6798161691,0,535067158,False,,residential,True,141.682,"LINESTRING (114.1235379 22.5695734, 114.1236398 22.5683027)",,
5192661990,2921637301,0,31404787,True,东门北路,primary,False,86.32300000000001,"LINESTRING (114.1284864 22.5610724, 114.1283794 22.5610194, 114.127751 22.5606963)",,
5192661990,6210847937,0,535867199,False,沁翠路,residential,True,499.67300000000006,"LINESTRING (114.1284864 22.5610724, 114.1284629 22.5611853, 114.1284629 22.5616584, 114.1285732 22.562082, 114.1286388 22.5623215, 114.1286562 22.562615, 114.1291847 22.5627276, 114.1295628 22.5627764, 114.1297783 22.5628327, 114.1300588 22.5629416, 114.1304125 22.5630542, 114.1306291 22.5618282)",,
5436817089,3066529131,0,564227353,True,爱国路辅路,primary,False,79.34,"LINESTRING (114.134544 22.5651706, 114.1344161 22.565106, 114.1343106 22.5650401, 114.1342253 22.5649736, 114.1339834 22.5646936)",,1
5436817089,1145408314,0,685048785,True,爱国路,trunk,False,452.47999999999996,"LINESTRING (114.134544 22.5651706, 114.1319048 22.5621328, 114.1318789 22.5621015, 114.1317902 22.5619939)",G107,3
