u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,lanes,maxspeed,access,bridge,tunnel
7959990588,7959990589,0,996752252,True,tertiary,False,74.173,"LINESTRING (114.0593206 22.5355272, 114.0585985 22.5355162)",,福华三路,,,,,
7959990588,2751405375,0,270044906,False,unclassified,False,121.95500000000001,"LINESTRING (114.0593206 22.5355272, 114.059318 22.5356537, 114.0593168 22.5357116, 114.0593124 22.5360557, 114.0593074 22.5361082, 114.0592939 22.536149, 114.059275 22.5361834, 114.0592429 22.5362273, 114.0590167 22.5364623, 114.0590011 22.536482, 114.058991 22.5365012, 114.0589856 22.5365217)",,中心七路,,,,,
7959990589,7959932878,0,640465234,True,tertiary_link,False,62.432,"LINESTRING (114.0585985 22.5355162, 114.0584184 22.535571, 114.0583662 22.5355932, 114.0583319 22.5356165, 114.058302 22.5356384, 114.0582764 22.5356651, 114.0582541 22.5356959, 114.0582357 22.5357268, 114.0582193 22.5357665, 114.0581831 22.5358694)",,,1,,,,
7959990589,7959990654,0,996752252,True,tertiary,False,42.012,"LINESTRING (114.0585985 22.5355162, 114.0583523 22.5355124, 114.0583026 22.5355117, 114.0581895 22.5355099)",,福华三路,,,,,
7959990594,2751405416,0,270044908,True,residential,False,111.008,"LINESTRING (114.0567577 22.535488, 114.0567567 22.5356163, 114.0567526 22.5364863)",,中心六路,,,,,
7959990594,7959990681,0,1052079662,True,tertiary,False,77.717,"LINESTRING (114.0567577 22.535488, 114.0561823 22.5354792, 114.0561348 22.5354785, 114.0560011 22.5354764)",,福华三路,,,,,
7959990597,7959990844,0,996752253,True,tertiary,False,49.962,"LINESTRING (114.050758 22.5353962, 114.0502716 22.5353887)",,福华三路,3,,,,
7959990599,7959990831,0,34900359,True,tertiary,False,14.001,"LINESTRING (114.0479308 22.5352269, 114.0479288 22.5353528)",,民田路,2,,,,
7959990599,7959990859,0,996752260,True,tertiary,False,191.797,"LINESTRING (114.0479308 22.5352269, 114.0481422 22.5352301, 114.049798 22.5352557)",,福华三路,3,,,,
7959990600,7958753250,0,853206478,True,tertiary,False,198.793,"LINESTRING (114.0478489 22.5352255, 114.0478767 22.5334379)",,民田路,2,,,,
7959990600,7959990599,0,996752260,True,tertiary,False,8.413,"LINESTRING (114.0478489 22.5352255, 114.0479308 22.5352269)",,福华三路,3,,,,
7959990601,7232047137,0,775171637,True,secondary_link,False,71.197,"LINESTRING (114.050758 22.5352706, 114.0509147 22.5352493, 114.0509505 22.5352418, 114.0509847 22.5352296, 114.0510154 22.5352155, 114.0510408 22.5351995, 114.0510932 22.5351922, 114.0511618 22.5351396, 114.0512159 22.535076, 114.0512427 22.5350162, 114.0512643 22.5349292)",,,1,,,,
7959990601,7959990767,0,996752260,True,tertiary,False,51.358999999999995,"LINESTRING (114.050758 22.5352706, 114.0509918 22.5352742, 114.0510927 22.5352758, 114.051258 22.5352781)",,福华三路,3,,,,
7959990637,7959990553,0,776141710,False,unclassified,True,195.84799999999998,"LINESTRING (114.0592079 22.5354013, 114.0592096 22.5353017, 114.0592161 22.5349084, 114.0592371 22.5336402)",,中心七路,,,,,
7959990653,7959990662,0,1050532719,True,secondary,False,18.047,"LINESTRING (114.0581521 22.5376108, 114.0579764 22.5376081)",,福华路,3,,,,
7959990653,7959932877,0,1052079655,True,secondary,False,33.888999999999996,"LINESTRING (114.0581521 22.5376108, 114.0581504 22.5377088, 114.0581454 22.5379155)",,金田路,3,,,,
7959990654,7959990664,0,996752252,True,tertiary,False,19.177,"LINESTRING (114.0581895 22.5355099, 114.0580028 22.5355071)",,福华三路,,,,,
7959990654,7959932878,0,40998256,True,secondary,False,39.98,"LINESTRING (114.0581895 22.5355099, 114.0581874 22.5356245, 114.0581831 22.5358694)",,金田路,3,,,,
7959990655,7959990654,0,40998256,True,secondary,False,13.823,"LINESTRING (114.0581917 22.5353856, 114.0581895 22.5355099)",,金田路,3,,,,
7959990655,6033482469,0,617162856,True,tertiary,False,27.169,"LINESTRING (114.0581917 22.5353856, 114.0582994 22.5353873, 114.0583459 22.535388, 114.0584562 22.5353897)",,福华三路,0,,,,
7959990662,7959990663,0,26274672,True,secondary,False,16.958,"LINESTRING (114.0579764 22.5376081, 114.0579784 22.5374556)",,金田路,3,,,,
7959990662,7959603239,0,1050532719,True,secondary,False,35.498999999999995,"LINESTRING (114.0579764 22.5376081, 114.0578702 22.5376066, 114.0577938 22.5376054, 114.0576308 22.5376029)",,福华路,3,,,,
7959990663,7959932870,0,1052079656,True,secondary,False,18.12,"LINESTRING (114.0579784 22.5374556, 114.0581548 22.5374587)",,福华路,3,,,,
7959990663,6496420788,0,1051842295,True,secondary,False,37.231,"LINESTRING (114.0579784 22.5374556, 114.0579798 22.5373553, 114.0579828 22.5371208)",,金田路,3,,,,
