u,v,key,osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,maxspeed,access,bridge
3066385640,3066385723,0,302380138,,residential,False,False,5.124,"LINESTRING (114.1368822 22.5524274, 114.1369321 22.5524274)",,,,,
3066385640,3066385389,0,302380138,,residential,False,True,101.367,"LINESTRING (114.1368822 22.5524274, 114.1358951 22.5524272)",,,,,
3066385640,3066385743,0,302380144,,residential,False,False,126.737,"LINESTRING (114.1368822 22.5524274, 114.1369037 22.5512878)",,,,,
3066385644,3066385727,0,302380136,,residential,False,False,19.474,"LINESTRING (114.1300534 22.5555256, 114.1299322 22.5553909)",,,,,
3066385644,3066385754,0,302380136,,residential,False,True,30.7,"LINESTRING (114.1300534 22.5555256, 114.1302326 22.5557466)",,,,,
3066385644,3066385420,0,302380149,,residential,False,True,262.38800000000003,"LINESTRING (114.1300534 22.5555256, 114.13015 22.5554636, 114.1302545 22.5554121, 114.1303993 22.5553626, 114.1306945 22.5552977, 114.1307964 22.5552655, 114.1310968 22.5550995, 114.1311531 22.5550797, 114.1313489 22.5550797, 114.1315152 22.5550921, 114.1316278 22.5551297, 114.13177 22.555206, 114.1318612 22.5552382, 114.132049 22.5552754, 114.1321 22.5553076, 114.1322076 22.5554682, 114.1322831 22.5555775)",,,,,
3066385646,2921645935,0,288610551,,residential,False,False,47.244,"LINESTRING (114.1328426 22.5595999, 114.1330779 22.559965)",,,,,
3066385646,3066592189,0,288610551,,residential,False,True,91.971,"LINESTRING (114.1328426 22.5595999, 114.132381 22.5588911)",,,,,
3066385646,3066385430,0,302380154,,residential,False,False,82.74,"LINESTRING (114.1328426 22.5595999, 114.1335268 22.5592069)",,,,,
3066385650,8486054844,0,302380134,,residential,False,True,136.456,"LINESTRING (114.134236 22.5574932, 114.1331166 22.5581545)",,,,,
3066385650,349974439,0,996531094,黄贝路,tertiary,False,False,145.646,"LINESTRING (114.134236 22.5574932, 114.1348852 22.5584756, 114.1349762 22.5586105)",,2,,,
3066385650,3263051493,0,996531094,黄贝路,tertiary,False,True,315.185,"LINESTRING (114.134236 22.5574932, 114.1332643 22.5560229, 114.1327312 22.5552454, 114.1325941 22.5551014)",,2,,,
3066385663,3066385421,0,302380141,,residential,False,False,40.722,"LINESTRING (114.1308018 22.551857, 114.13041 22.5518005)",,,,,
3066385663,3066385739,0,302380148,,residential,False,False,120.207,"LINESTRING (114.1308018 22.551857, 114.1307884 22.5522236, 114.1308098 22.5524565, 114.1308071 22.552937)",,,,,
3066385663,3066385736,0,302380148,,residential,False,True,36.848,"LINESTRING (114.1308018 22.551857, 114.1308553 22.5518005, 114.1309116 22.5517039, 114.1309734 22.5516663, 114.1310566 22.5516514)",,,,,
3066385681,2921645909,0,288610551,,residential,False,False,32.167,"LINESTRING (114.1314696 22.5575269, 114.1316199 22.5576708, 114.1316782 22.5577421)",,,,,
3066385681,3066385747,0,302380147,,residential,False,False,325.73699999999997,"LINESTRING (114.1314696 22.5575269, 114.131424 22.5575516, 114.1313434 22.557577, 114.1309117 22.5577399, 114.1307855 22.5577653, 114.1305684 22.5577647, 114.1304208 22.5577405, 114.1303322 22.5576984, 114.1302009 22.5575516, 114.1301151 22.557403, 114.1300615 22.5572197, 114.1300427 22.5570364, 114.1300426 22.5568438, 114.1300882 22.5566259, 114.1301688 22.5564396, 114.130327 22.5562167, 114.1304236 22.556125, 114.1304987 22.5560879)",,,,,
3066385681,3066385701,0,302380152,,residential,False,True,293.23,"LINESTRING (114.1314696 22.5575269, 114.1315099 22.5574575, 114.1315768 22.557317, 114.1317432 22.5570513, 114.1319925 22.5567349, 114.1320542 22.556606, 114.1321107 22.5563876, 114.1321266 22.5562469, 114.1321025 22.5561082, 114.1320678 22.5560235, 114.1319819 22.5559021, 114.1319095 22.5558302, 114.1318075 22.5557862, 114.1316869 22.5557658, 114.1315662 22.5557881, 114.1314668 22.5558332, 114.1313516 22.5559021, 114.1311879 22.5559695)",,,,,
3066385695,3066385704,0,302380135,,residential,False,True,8.656,"LINESTRING (114.1297369 22.5576383, 114.1296604 22.557671)",,,,,
3066385695,3066385418,0,302380155,,residential,False,False,132.242,"LINESTRING (114.1297369 22.5576383, 114.1298013 22.5576681, 114.1298764 22.5576755, 114.1299272 22.5576984, 114.1299917 22.5577523, 114.130534 22.5585246)",,,,,
3066385695,3066385754,0,302380155,,residential,False,True,237.62599999999998,"LINESTRING (114.1297369 22.5576383, 114.1296028 22.5573659, 114.1295733 22.557242, 114.1295661 22.5569636, 114.1295866 22.5567175, 114.1296456 22.5564327, 114.1297235 22.556234, 114.1298389 22.5560656, 114.1300668 22.5558575, 114.1302326 22.5557466)",,,,,
3066385701,3066385681,0,302380152,,residential,False,False,293.23,"LINESTRING (114.1311879 22.5559695, 114.1313516 22.5559021, 114.1314668 22.5558332, 114.1315662 22.5557881, 114.1316869 22.5557658, 114.1318075 22.5557862, 114.1319095 22.5558302, 114.1319819 22.5559021, 114.1320678 22.5560235, 114.1321025 22.5561082, 114.1321266 22.5562469, 114.1321107 22.5563876, 114.1320542 22.556606, 114.1319925 22.5567349, 114.1317432 22.5570513, 114.1315768 22.557317, 114.1315099 22.5574575, 114.1314696 22.5575269)",,,,,
3066385701,3066385747,0,302380152,,residential,False,True,71.987,"LINESTRING (114.1311879 22.5559695, 114.1307401 22.5560457, 114.1304987 22.5560879)",,,,,
3066385701,3066385404,0,302380153,,residential,False,False,145.17700000000002,"LINESTRING (114.1311879 22.5559695, 114.1311478 22.5562612, 114.1311156 22.5563232, 114.1310566 22.5563801, 114.1309707 22.5564198, 114.1306945 22.5565263, 114.1306328 22.5565585, 114.1305818 22.556613, 114.1305335 22.5567022, 114.1304933 22.5568458, 114.1304744 22.5569578)",,,,,
3066385704,3066385695,0,302380135,,residential,False,False,8.656,"LINESTRING (114.1296604 22.557671, 114.1297369 22.5576383)",,,,,
3066385704,3066385727,0,302380135,,residential,False,True,312.636,"LINESTRING (114.1296604 22.557671, 114.1295034 22.557738, 114.1291629 22.5572173, 114.1291334 22.5571132, 114.1291388 22.5568359, 114.129195 22.5565243, 114.1293024 22.5562092, 114.1294417 22.5559348, 114.1296243 22.5556965, 114.1299322 22.5553909)",,,,,
3066385704,3066385707,0,302380156,,residential,False,False,124.07,"LINESTRING (114.1296604 22.557671, 114.1297529 22.5577851, 114.1299353 22.5580823, 114.1303067 22.5586127)",,,,,
3066385707,3066594156,0,288610543,,residential,False,False,8.75,"LINESTRING (114.1303067 22.5586127, 114.1303853 22.5585823)",,,,,
3066385707,2921645908,0,288610543,,residential,False,True,52.544,"LINESTRING (114.1303067 22.5586127, 114.1298348 22.5587954)",,,,,
3066385707,3066385704,0,302380156,,residential,False,True,124.07000000000001,"LINESTRING (114.1303067 22.5586127, 114.1299353 22.5580823, 114.1297529 22.5577851, 114.1296604 22.557671)",,,,,
3066385723,3066385731,0,302380138,,residential,False,False,88.363,"LINESTRING (114.1369321 22.5524274, 114.1373953 22.5517577)",,,,,
3066385723,3066385640,0,302380138,,residential,False,True,5.124,"LINESTRING (114.1369321 22.5524274, 114.1368822 22.5524274)",,,,,
3066385723,3066385385,0,302380151,,residential,False,True,150.159,"LINESTRING (114.1369321 22.5524274, 114.1369008 22.5537775)",,,,,
3066385727,3066385755,0,302380136,,residential,False,False,22.593,"LINESTRING (114.1299322 22.5553909, 114.1297915 22.5552347)",,,,,
3066385727,3066385644,0,302380136,,residential,False,True,19.474,"LINESTRING (114.1299322 22.5553909, 114.1300534 22.5555256)",,,,,
3066385727,3066385704,0,302380135,,residential,False,False,312.63599999999997,"LINESTRING (114.1299322 22.5553909, 114.1296243 22.5556965, 114.1294417 22.5559348, 114.1293024 22.5562092, 114.129195 22.5565243, 114.1291388 22.5568359, 114.1291334 22.5571132, 114.1291629 22.5572173, 114.1295034 22.557738, 114.1296604 22.557671)",,,,,
3066385731,3066385723,0,302380138,,residential,False,True,88.363,"LINESTRING (114.1373953 22.5517577, 114.1369321 22.5524274)",,,,,
3066385731,2881798587,0,595870096,沿河北路辅路,primary,True,False,103.755,"LINESTRING (114.1373953 22.5517577, 114.1369237 22.5511028, 114.136845 22.5509755)",,,,,
3066385736,3066385663,0,302380148,,residential,False,False,36.848,"LINESTRING (114.1310566 22.5516514, 114.1309734 22.5516663, 114.1309116 22.5517039, 114.1308553 22.5518005, 114.1308018 22.551857)",,,,,
