u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,access,maxspeed,tunnel
2750593322,8444060575,0,1050725174,True,4,深南大道,primary,False,25.689,"LINESTRING (114.0570669 22.5425104, 114.057197 22.5425344, 114.0573129 22.5425521)",,,,
2750593369,2750593322,0,269937915,True,,深南大道辅路,secondary,False,445.415,"LINESTRING (114.0528892 22.542232, 114.0530979 22.5421338, 114.0536589 22.5420032, 114.0538305 22.5419685, 114.0539941 22.5419413, 114.054163 22.5419185, 114.0543322 22.541905, 114.0545156 22.541895, 114.0547054 22.5418997, 114.0548838 22.5419119, 114.0550636 22.5419388, 114.0552366 22.5419729, 114.0554462 22.54202, 114.0567681 22.5423642, 114.0568616 22.5423951, 114.0569439 22.5424282, 114.0570066 22.5424645, 114.0570669 22.5425104)",,,,
2750593369,277673161,0,1050725174,True,4,深南大道,primary,False,46.718,"LINESTRING (114.0528892 22.542232, 114.0531149 22.5421926, 114.0533359 22.5421526)",,,,
2750593461,499543276,0,269937903,True,,深南大道辅路,secondary,False,424.12500000000017,"LINESTRING (114.0571969 22.5428668, 114.0567295 22.5429754, 114.055439 22.5432399, 114.0552921 22.5432699, 114.0551566 22.5432927, 114.0550103 22.5433167, 114.0548815 22.5433282, 114.0547256 22.5433338, 114.0545887 22.5433362, 114.0544408 22.5433341, 114.0543211 22.5433285, 114.0541858 22.5433137, 114.0540521 22.5432896, 114.0539347 22.5432639, 114.0538073 22.5432361, 114.0536672 22.5431998, 114.0535311 22.5431647, 114.0533982 22.5431238, 114.0532845 22.5430793, 114.0531703 22.5430332)",,,,
2750593461,277052169,0,616351220,True,4,深南大道,primary,False,123.011,"LINESTRING (114.0571969 22.5428668, 114.0569623 22.5428667, 114.0568862 22.5428686, 114.0568121 22.542878, 114.0567391 22.5428894, 114.0560157 22.5430254)",,,,
2750670857,9732895743,0,241491632,False,,兴融五路,unclassified,False,86.05,"LINESTRING (114.0490171 22.5417973, 114.049028 22.5410235)",,,,
2750670857,7961465892,0,672979256,True,,,primary_link,False,5.012,"LINESTRING (114.0490171 22.5417973, 114.0490659 22.541798)",,,,
2750787454,7961542786,0,245389547,True,,新洲路,primary,False,39.536,"LINESTRING (114.044383 22.5468232, 114.044376 22.5471787)",,,,
2750787454,7961542792,0,269969839,True,,,primary_link,False,50.368,"LINESTRING (114.044383 22.5468232, 114.044388 22.5468618, 114.0443956 22.546898, 114.0444078 22.54694, 114.0444271 22.5469853, 114.0444444 22.5470186, 114.044473 22.5470596, 114.0444963 22.5470858, 114.0445209 22.5471095, 114.0445498 22.5471324, 114.0445892 22.5471585, 114.0446399 22.5471826)",,,,
2750787528,7961542788,0,245389547,True,,新洲路,primary,False,137.8,"LINESTRING (114.0443669 22.5476621, 114.044345 22.5489012)",,,,
3085769133,7961542813,0,304053237,False,,,residential,False,173.78799999999998,"LINESTRING (114.0450629 22.5445772, 114.0452511 22.5445795, 114.0462953 22.5445921, 114.046755 22.5445965)",,,,
5140366337,7961467136,0,996625927,True,2,民田路,tertiary,False,121.46300000000001,"LINESTRING (114.0477091 22.5443213, 114.0477265 22.5433603, 114.0477277 22.5432955, 114.0477289 22.5432291)",,,,
5192661986,5832657781,0,996625943,True,3,益田路,secondary,False,18.037,"LINESTRING (114.0512016 22.54483, 114.0511998 22.5449922)",,,,
5192662017,5832657762,0,616351220,True,4,深南大道,primary,False,38.037,"LINESTRING (114.0509518 22.5427015, 114.0505815 22.5426948)",,,,
5271707993,2750593369,0,1050725174,True,4,深南大道,primary,False,121.903,"LINESTRING (114.0517209 22.5424104, 114.0518472 22.5424059, 114.0519573 22.5423983, 114.0520815 22.5423877, 114.0522075 22.5423697, 114.0523387 22.5423482, 114.0524498 22.5423255, 114.0526964 22.5422729, 114.0528892 22.542232)",,,,
5271707996,9732895760,0,853286945,True,,,primary_link,False,43.777,"LINESTRING (114.0510064 22.5420637, 114.0510156 22.5416701)",,,,
5271707997,5832657778,0,616351220,True,4,深南大道,primary,False,48.652,"LINESTRING (114.0518184 22.542732, 114.0516828 22.5427203, 114.0515785 22.542713, 114.0513456 22.5427087)",,,,
