u,v,key,osmid,highway,oneway,reversed,length,name,geometry,ref,lanes,tunnel,maxspeed,bridge
2286531633,564726083,0,"[219503252, 219503253, 219503255, 219503256, 624056638]",primary,True,False,459.462,"['笋岗桥', '笋岗东路']","LINESTRING (114.1065461 22.5585947, 114.106903 22.5585985, 114.108015 22.558626, 114.1093241 22.5586353, 114.1102376 22.5586582, 114.1110196 22.558669)",,,,,yes
2286531638,3078109170,0,219503251,primary,True,False,96.975,笋岗东路,"LINESTRING (114.1067257 22.5587518, 114.1057817 22.5587273)",,,,,
2473539026,7236155499,0,239576235,residential,False,False,92.058,,"LINESTRING (114.1012659 22.5532576, 114.1015263 22.5524654)",,,,,
2473539026,349237519,0,239576235,residential,False,True,217.268,,"LINESTRING (114.1012659 22.5532576, 114.1006622 22.5548617, 114.1006387 22.5549401, 114.1006216 22.5550227, 114.1006107 22.5551124)",,,,,
2473539026,8768362380,0,257397880,residential,False,False,265.32,松园西街,"LINESTRING (114.1012659 22.5532576, 114.1033585 22.5539839, 114.1033939 22.5539988, 114.103419 22.5540225, 114.1034321 22.5540498, 114.1034333 22.5540761, 114.1034276 22.5541045, 114.1034139 22.554135, 114.1033399 22.5542507)",,3,,,
2473539026,7236155492,0,"[257397880, 31354931]",residential,False,True,88.608,"['松园西街', '松园南街']","LINESTRING (114.1012659 22.5532576, 114.1009241 22.553171, 114.1007675 22.5530192, 114.1007216 22.5527628)",,3,,,
2473539060,349237339,0,31354887,tertiary,True,False,211.882,宝安南路,"LINESTRING (114.1052357 22.5514466, 114.1051856 22.5515698, 114.1051013 22.5517109, 114.1050052 22.5518443, 114.1048587 22.552029, 114.1046497 22.5522898, 114.1045392 22.5524184, 114.1044655 22.5525419, 114.1042238 22.5530923)",,2,,,
2473539060,8562236968,0,152961996,residential,False,False,58.575,,"LINESTRING (114.1052357 22.5514466, 114.1052672 22.5515117, 114.1057603 22.5515197)",,,,,
2647622566,8768362371,0,31354912,residential,False,True,38.017,SongYuanDong Jie,"LINESTRING (114.10449 22.5569144, 114.1041198 22.5569172)",,,,,
2647622566,349237453,0,"[31354905, 259359562]",unclassified,False,False,417.11600000000004,"['桂园北街', '松园东街']","LINESTRING (114.10449 22.5569144, 114.104499 22.5567477, 114.1045166 22.5566324, 114.1045493 22.5565481, 114.1046303 22.5564562, 114.1047264 22.5564009, 114.1048296 22.5563641, 114.1049571 22.556346, 114.1071409 22.5563982, 114.1072479 22.5563856, 114.1073567 22.5563348, 114.1079605 22.5559045)",,,,,
2647622566,2647622568,0,259359562,unclassified,False,True,84.968,松园东街,"LINESTRING (114.10449 22.5569144, 114.1044886 22.5571753, 114.1044827 22.5576785)",,,,,
2647622568,2647622566,0,259359562,unclassified,False,False,84.968,松园东街,"LINESTRING (114.1044827 22.5576785, 114.1044886 22.5571753, 114.10449 22.5569144)",,,,,
2647622569,3078109188,0,624056638,primary,True,False,48.298,笋岗东路,"LINESTRING (114.104094 22.5585331, 114.104564 22.5585497)",,,,,
2647622569,564275705,0,996519927,tertiary,True,False,16.712,宝安北路,"LINESTRING (114.104094 22.5585331, 114.1040883 22.5586833)",,,,,
2765186498,8552068524,0,"[271562076, 271562087]",secondary,True,False,714.222,红桂路,"LINESTRING (114.1075509 22.5527205, 114.1079849 22.5528168, 114.108121 22.5528397, 114.108235 22.5528469, 114.1083817 22.5528588, 114.1088648 22.5528728, 114.1089809 22.5528823, 114.1091053 22.5529025, 114.1092177 22.5529348, 114.109335 22.5529866, 114.1094479 22.5530627, 114.1095495 22.5531437, 114.1096319 22.5532284, 114.1097093 22.5533237, 114.1100221 22.553868, 114.1101162 22.5540267, 114.1102014 22.5541176, 114.1102972 22.5541974, 114.1103988 22.5542544, 114.1105083 22.5543057, 114.1106211 22.5543453, 114.1107299 22.5543677, 114.1108567 22.5543777, 114.1109608 22.5543754, 114.1110904 22.5543592, 114.1127998 22.5540633, 114.1136963 22.553913)",,2,,,yes
2765186498,6080174728,0,647431571,residential,False,False,444.75699999999995,果园东路,"LINESTRING (114.1075509 22.5527205, 114.1077213 22.5527192, 114.1080453 22.5528004, 114.1084791 22.5528393, 114.1090033 22.5528379, 114.1090697 22.5527891, 114.109097 22.5524948, 114.1091458 22.5521113, 114.1092353 22.5515081, 114.1093064 22.5510777, 114.1091084 22.5510612, 114.1084005 22.5509864)",,,,,
2765186503,2765186509,0,44426597,secondary,True,False,8.108,人民公园路,"LINESTRING (114.109852 22.5545709, 114.1098581 22.5546436)",,,,,
2765186503,5837744840,0,271562084,tertiary,True,False,327.067,红桂路辅路,"LINESTRING (114.109852 22.5545709, 114.110374 22.5544875, 114.1104918 22.5544652, 114.1106852 22.5544132, 114.1110151 22.5543017, 114.1111242 22.554274, 114.1119968 22.5541308, 114.1127604 22.5540114, 114.112898 22.5539921, 114.1129667 22.5539846)",,,,,
2765186509,2765186597,0,271562062,tertiary,True,False,12.688,红桂路辅路,"LINESTRING (114.1098581 22.5546436, 114.1097355 22.5546294)",,,,,
2765186509,564727654,0,44426597,secondary,True,False,395.14599999999996,人民公园路,"LINESTRING (114.1098581 22.5546436, 114.1099296 22.5554065, 114.1099811 22.5556998, 114.1102987 22.5563101, 114.1105647 22.5566668, 114.1106061 22.5567326, 114.1111114 22.5572834, 114.1113483 22.5575698, 114.1114809 22.5577551)",,,,,
2765186597,2765186503,0,271562084,tertiary,True,False,13.618,红桂路辅路,"LINESTRING (114.1097355 22.5546294, 114.109852 22.5545709)",,,,,
2765186597,2765242331,0,44426600,secondary,True,False,79.57300000000001,人民公园路,"LINESTRING (114.1097355 22.5546294, 114.109725 22.5544792, 114.1097129 22.5542915, 114.109707 22.5540697, 114.1097073 22.5539145)",,,,,
2765186611,3070071747,0,31354909,residential,False,False,8.957,桂圆北路,"LINESTRING (114.1062201 22.5531337, 114.1062677 22.5532012)",,,,,
2765186611,1927361961,0,31354900,secondary,True,False,123.391,红桂路,"LINESTRING (114.1062201 22.5531337, 114.1067326 22.5529197, 114.1071476 22.5527508, 114.1073203 22.552688)",,2,,,
2765186611,8562236968,0,271562086,residential,False,True,195.079,,"LINESTRING (114.1062201 22.5531337, 114.1057384 22.5524979, 114.1057603 22.5515197)",,,,,
2765242286,5837744842,0,31352163,residential,False,False,27.387,蛟湖路,"LINESTRING (114.1122051 22.5525102, 114.1124527 22.5524187)",,,,,
2765242286,349204620,0,31352163,residential,False,True,35.442,蛟湖路,"LINESTRING (114.1122051 22.5525102, 114.1118821 22.5526225)",,,,,
2765242286,2765242475,0,271568326,residential,False,False,396.90700000000004,迎宾东路,"LINESTRING (114.1122051 22.5525102, 114.112045 22.5526421, 114.1120128 22.552709, 114.1120308 22.5528199, 114.112173 22.5532807, 114.1121738 22.553358, 114.112147 22.5534323, 114.1120906 22.5535462, 114.1120611 22.5536899, 114.1120209 22.5538757, 114.1119807 22.5539426, 114.1119377 22.5539847, 114.1118653 22.554007, 114.1117849 22.5540119, 114.1116186 22.5539971, 114.1113959 22.5539401, 114.1113021 22.5539227, 114.1111358 22.5539178, 114.1098351 22.5539124)",,,,,
2765242331,2765242475,0,271568326,residential,False,True,13.126,迎宾东路,"LINESTRING (114.1097073 22.5539145, 114.1098351 22.5539124)",,,,,
2765242475,2765242331,0,271568326,residential,False,False,13.126,迎宾东路,"LINESTRING (114.1098351 22.5539124, 114.1097073 22.5539145)",,,,,
2765242475,2765186503,0,44426597,secondary,True,False,73.342,人民公园路,"LINESTRING (114.1098351 22.5539124, 114.1098266 22.5542968, 114.109852 22.5545709)",,,,,
