u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,tunnel,bridge
7973099532,7973099531,0,536764370,True,,primary_link,,False,37.231,"LINESTRING (114.0346524 22.5416294, 114.0343442 22.5414531)",,,
7973099532,7973099529,0,536764372,True,深南大道辅路,secondary,,False,168.611,"LINESTRING (114.0346524 22.5416294, 114.0330376 22.5413556)",2,,
7973099533,7973099531,0,892901021,True,深南大道,primary,,False,120.896,"LINESTRING (114.0355025 22.541647, 114.0343442 22.5414531)",3,,
7973099533,2530284958,0,1049968030,True,,secondary,,False,43.027,"LINESTRING (114.0355025 22.541647, 114.0353055 22.541688, 114.035209 22.5417015, 114.0350896 22.5417035)",,,
7973099537,7973114863,0,1050511763,True,深南大道,primary,,False,34.587,"LINESTRING (114.0371406 22.5419247, 114.0368094 22.5418683)",3,,
7973114730,9906792548,0,"[958551489, 1080860978]",True,香蜜湖路,primary,,False,105.743,"LINESTRING (114.023344 22.5403368, 114.0231804 22.5409342, 114.0230901 22.5412584)",,,yes
7973114829,5771508507,0,245816214,False,,unclassified,,False,187.15,"LINESTRING (114.0318476 22.5434342, 114.0317129 22.5434134, 114.030197 22.54323, 114.0300401 22.54323)",,,
7973114848,7973099505,0,1050511766,True,深南大道,primary,,False,231.54,"LINESTRING (114.0358562 22.541421, 114.0358731 22.5414238, 114.0380755 22.5417877)",3,,
7973114851,7975286501,0,892901022,True,香梅路,secondary,,False,203.39000000000001,"LINESTRING (114.0356229 22.5419686, 114.0353092 22.5435992, 114.035303 22.5436351, 114.0353 22.5436584, 114.0352989 22.5436808, 114.0352985 22.5437033, 114.0352993 22.5437265, 114.0353013 22.5437715)",3,,
7973114859,7973114848,0,1050511765,True,深南大道,primary,,False,26.741,"LINESTRING (114.0355999 22.5413786, 114.0358562 22.541421)",3,,
7973114859,8298792534,0,364716853,True,香梅路,secondary,,False,36.594,"LINESTRING (114.0355999 22.5413786, 114.0356427 22.5414053, 114.0356653 22.5414296, 114.0356805 22.5414622, 114.0356873 22.5415063, 114.0356856 22.5415399, 114.0356654 22.5416743)",3,,
7973114863,8298792552,0,364716854,True,,primary_link,,False,116.017,"LINESTRING (114.0368094 22.5418683, 114.0366353 22.5418792, 114.0365227 22.5418741, 114.0360285 22.5418136, 114.0359618 22.5418096, 114.0359123 22.5418099, 114.0358652 22.5418172, 114.0358208 22.541831, 114.0357866 22.5418481, 114.0357594 22.5418617, 114.0357389 22.5418756, 114.0357104 22.5418984)",1,,
7973114863,8298779513,0,1050511762,True,深南大道,primary,,False,110.989,"LINESTRING (114.0368094 22.5418683, 114.0358482 22.5417049, 114.035818 22.5416999, 114.0357465 22.5416878)",3,,
