u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,access
2474730051,1699111533,0,996207956,False,,同心南路,secondary,False,125.25699999999999,"LINESTRING (114.0952189 22.5412937, 114.0952196 22.5412534, 114.0952309 22.5406298, 114.0952342 22.5404453, 114.0952373 22.5402795, 114.0952394 22.5401674)",,
2548149940,2548150006,0,247967146,False,,,unclassified,False,34.819,"LINESTRING (114.093488 22.543758, 114.0934846 22.543965, 114.0934828 22.5440711)",,
2548149940,8128082131,0,352308659,True,,,tertiary,False,48.174,"LINESTRING (114.093488 22.543758, 114.0934357 22.5437534, 114.0933856 22.5437412, 114.0933456 22.5437254, 114.0932939 22.543695, 114.0932548 22.5436616, 114.0932213 22.5436216, 114.0932082 22.5435893, 114.0932038 22.543565, 114.0932008 22.5435241, 114.0932007 22.5434839)",,
2548149971,2548150044,0,247967142,False,,,unclassified,True,84.676,"LINESTRING (114.0959814 22.5447499, 114.0953754 22.5447524, 114.0951569 22.54475)",,
2548149981,2548150002,0,247967145,False,,,unclassified,False,159.944,"LINESTRING (114.093929 22.5452904, 114.0939487 22.5455932, 114.0939991 22.5457318, 114.094073 22.5458681, 114.0943478 22.5463873, 114.0944697 22.54662)",,
2548149981,2548150006,0,247967146,False,,,unclassified,False,273.204,"LINESTRING (114.093929 22.5452904, 114.0936021 22.5452866, 114.0933313 22.5452834, 114.0930397 22.5452799, 114.0929678 22.545165, 114.0929798 22.5441606, 114.0931002 22.5440675, 114.0933955 22.5440703, 114.0934828 22.5440711)",,
2548149981,2548150006,1,247967146,False,,,unclassified,True,183.612,"LINESTRING (114.093929 22.5452904, 114.0939971 22.5451814, 114.0939996 22.5441667, 114.093881 22.5440749, 114.0935592 22.5440718, 114.0934828 22.5440711)",,
2548150002,1123427065,0,239574718,False,,,unclassified,False,73.234,"LINESTRING (114.0944697 22.54662, 114.0945116 22.5466078, 114.095151 22.5464255)",,
2548150002,3498849832,0,239574718,False,,,unclassified,True,385.534,"LINESTRING (114.0944697 22.54662, 114.0941279 22.5467193, 114.093983 22.5467317, 114.093798 22.5467441, 114.093696 22.5467664, 114.0936344 22.5468184, 114.0935943 22.5468927, 114.0935808 22.5470017, 114.0935406 22.5470958, 114.0934707 22.5471553, 114.0933071 22.5472222, 114.0932454 22.5472692, 114.0928907 22.5472041, 114.0925288 22.547202, 114.0925288 22.5470338, 114.0912301 22.5470424)",,
2548150002,2548149981,0,247967145,False,,,unclassified,True,159.944,"LINESTRING (114.0944697 22.54662, 114.0943478 22.5463873, 114.094073 22.5458681, 114.0939991 22.5457318, 114.0939487 22.5455932, 114.093929 22.5452904)",,
