u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,junction
2324186905,5269889012,0,857204488,True,福明路,tertiary,False,71.561,"LINESTRING (114.0760125 22.5417603, 114.0760122 22.5418148, 114.0760172 22.5418693, 114.076025 22.5419293, 114.0760366 22.5419938, 114.0760532 22.542095, 114.0761053 22.5423974)",,,,,
2324186905,8434694161,0,857204492,False,福明路,tertiary,True,134.982,"LINESTRING (114.0760125 22.5417603, 114.0760302 22.541326, 114.0760792 22.540548)",,,,,
2367560889,2367560920,0,228119756,False,,residential,False,48.647,"LINESTRING (114.0643662 22.5488522, 114.0648236 22.548966)",,,,,
2367560889,2367560936,0,228119767,False,,residential,False,90.6,"LINESTRING (114.0643662 22.5488522, 114.0645628 22.5480579)",,,,,
2367560889,2367560940,0,228119756,False,,residential,True,128.673,"LINESTRING (114.0643662 22.5488522, 114.0639867 22.5487716, 114.0637963 22.5487444, 114.0635897 22.5487357, 114.0631257 22.5487432)",,,,,
2367560891,500015611,0,996207990,True,彩田路,primary,False,14.68,"LINESTRING (114.0626598 22.5475926, 114.0626622 22.5474606)",2,,,,
2367560891,8878665892,0,996207992,True,福中路,secondary,False,55.121,"LINESTRING (114.0626598 22.5475926, 114.062515 22.5475905, 114.0624847 22.5475901, 114.0621231 22.5475861)",2,40,,,
2367560914,2367574809,0,228119770,False,,residential,False,200.267,"LINESTRING (114.0662151 22.5450528, 114.0661908 22.5468537)",,,,,
2367560914,7252057816,0,740785646,False,,unclassified,True,161.67,"LINESTRING (114.0662151 22.5450528, 114.0677892 22.5450717)",2,,,,
2367560914,7893947001,0,740785646,False,,unclassified,False,247.178,"LINESTRING (114.0662151 22.5450528, 114.0650418 22.5450386, 114.0650112 22.5450306, 114.0649798 22.5450161, 114.0649536 22.5449903, 114.0649432 22.5449613, 114.0649379 22.544921, 114.0649601 22.5440936, 114.0649686 22.5440392, 114.0649925 22.5439899, 114.0650134 22.5439616)",2,,,,
2367560918,2367560947,0,777201484,False,,residential,True,117.029,"LINESTRING (114.0652769 22.5488818, 114.0656483 22.5487407, 114.066032 22.5481585)",,,,,
2367560920,2367560889,0,228119756,False,,residential,True,48.647,"LINESTRING (114.0648236 22.548966, 114.0643662 22.5488522)",,,,,
2367560936,2367560943,0,228119767,False,,residential,False,18.18,"LINESTRING (114.0645628 22.5480579, 114.0646022 22.5478985)",,,,,
2367560936,2367560889,0,228119767,False,,residential,True,90.6,"LINESTRING (114.0645628 22.5480579, 114.0643662 22.5488522)",,,,,
2367560936,2367560940,0,228119757,False,,residential,True,225.971,"LINESTRING (114.0645628 22.5480579, 114.063858 22.5479752, 114.0633349 22.5479752, 114.0632544 22.5479777, 114.0631968 22.5479926, 114.0631673 22.5480285, 114.0631445 22.5480941, 114.0631257 22.5487432)",,,,,
2367560940,2367560889,0,228119756,False,,residential,False,128.673,"LINESTRING (114.0631257 22.5487432, 114.0635897 22.5487357, 114.0637963 22.5487444, 114.0639867 22.5487716, 114.0643662 22.5488522)",,,,,
2367560940,2367560936,0,228119757,False,,residential,False,225.971,"LINESTRING (114.0631257 22.5487432, 114.0631445 22.5480941, 114.0631673 22.5480285, 114.0631968 22.5479926, 114.0632544 22.5479777, 114.0633349 22.5479752, 114.063858 22.5479752, 114.0645628 22.5480579)",,,,,
2367560943,2367560936,0,228119767,False,,residential,True,18.18,"LINESTRING (114.0646022 22.5478985, 114.0645628 22.5480579)",,,,,
2367560943,2367560947,0,228119769,False,,residential,False,149.653,"LINESTRING (114.0646022 22.5478985, 114.066032 22.5481585)",,,,,
2367560943,8002408175,0,228119767,False,,residential,False,32.672,"LINESTRING (114.0646022 22.5478985, 114.0645922 22.5478519, 114.0645959 22.5476056)",,,,,
2367560945,2367560947,0,228119769,False,,residential,True,83.105,"LINESTRING (114.0668406 22.5481882, 114.066032 22.5481585)",,,,,
2367560947,2367560945,0,228119769,False,,residential,False,83.105,"LINESTRING (114.066032 22.5481585, 114.0668406 22.5481882)",,,,,
2367560947,2367560943,0,228119769,False,,residential,True,149.653,"LINESTRING (114.066032 22.5481585, 114.0646022 22.5478985)",,,,,
2367560947,2367560918,0,777201484,False,,residential,False,117.029,"LINESTRING (114.066032 22.5481585, 114.0656483 22.5487407, 114.0652769 22.5488818)",,,,,
2367560947,8002408174,0,777201484,False,,residential,True,59.995,"LINESTRING (114.066032 22.5481585, 114.0660949 22.5480087, 114.0661113 22.5478675, 114.0661172 22.5476307)",,,,,
2367574745,2367574785,0,228121844,False,,residential,False,80.125,"LINESTRING (114.0713711 22.5446433, 114.0721061 22.544885)",,,,,
2367574745,2367574802,0,228121858,False,,residential,False,40.654,"LINESTRING (114.0713711 22.5446433, 114.0712053 22.5449753)",,,,,
2367574745,2367574790,0,228121858,False,,residential,True,87.716,"LINESTRING (114.0713711 22.5446433, 114.0717395 22.5439316)",,,,,
2367574746,2367574781,0,228121845,True,,residential,False,21.028000000000002,"LINESTRING (114.0707919 22.5457223, 114.0708168 22.5457082, 114.0708453 22.5457021, 114.0708745 22.5457044, 114.0709014 22.545715, 114.0709233 22.5457329, 114.0709381 22.5457562, 114.0709443 22.5457826)",,,,,roundabout
2367574746,2367574786,0,781184115,True,,residential,False,22.744,"LINESTRING (114.0707919 22.5457223, 114.0708635 22.5456752, 114.0709251 22.5456298, 114.0709644 22.5455946)",,,,,
2367574747,2367574751,0,228121861,False,,residential,True,96.384,"LINESTRING (114.0638455 22.544532, 114.0638471 22.5453988)",,,,,
2367574749,2367574768,0,228121846,False,,residential,True,228.876,"LINESTRING (114.0697026 22.5479176, 114.0697532 22.5458598)",,,,,
2367574749,2367574804,0,157205175,True,振华西路,secondary,False,261.87,"LINESTRING (114.0697026 22.5479176, 114.0698058 22.5479359, 114.070165 22.5480006, 114.0703074 22.5480221, 114.0704567 22.5480421, 114.0706213 22.5480594, 114.0707363 22.548069, 114.0708736 22.5480758, 114.0710296 22.5480793, 114.0711722 22.5480779, 114.0712964 22.5480754, 114.0714151 22.5480701, 114.0715237 22.5480606, 114.0716494 22.5480476, 114.0717805 22.5480302, 114.0719156 22.5480098, 114.0720546 22.5479847, 114.0722263 22.5479455)",,,,,
2367574751,2367574747,0,228121861,False,,residential,False,96.384,"LINESTRING (114.0638471 22.5453988, 114.0638455 22.544532)",,,,,
2367574751,2367574755,0,777201485,False,,residential,True,59.79,"LINESTRING (114.0638471 22.5453988, 114.0644293 22.5454003)",,,,,
2367574751,2367574828,0,777201485,False,,residential,False,100.952,"LINESTRING (114.0638471 22.5453988, 114.0629464 22.5453965, 114.0628641 22.5453961)",,,,,
2367574753,2367574790,0,228121858,False,,residential,False,18.78,"LINESTRING (114.0718395 22.5437902, 114.0717395 22.5439316)",,,,,
2367574753,8377247191,0,901841903,False,,residential,False,5.768,"LINESTRING (114.0718395 22.5437902, 114.0718328 22.5437387)",,,,,
2367574753,8377247189,0,901841903,False,,residential,True,7.577,"LINESTRING (114.0718395 22.5437902, 114.0718902 22.5437407)",,,,,
2367574754,2367574794,0,228121843,False,,residential,False,44.859,"LINESTRING (114.0719416 22.5452387, 114.071768 22.5456089)",,,,,
