u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge
2473513205,2473495720,0,271568317,True,,解放路,tertiary,False,358.53200000000004,"LINESTRING (114.1053378 22.5460637, 114.104432 22.5456346, 114.1043576 22.5456011, 114.1041779 22.5455053, 114.1040792 22.5454542, 114.1039624 22.5453845, 114.1038496 22.545313, 114.1037764 22.5452636, 114.103731 22.5452328, 114.1035405 22.5451036, 114.1031342 22.5448274, 114.1029093 22.5446751, 114.1024035 22.5443326)",
2474733849,2474733861,0,624056634,False,,金塘街,secondary,False,7.105,"LINESTRING (114.1025353 22.5404556, 114.1025357 22.5405195)",
2474733849,266992397,0,478022251,True,2,嘉宾路,secondary,False,202.64999999999998,"LINESTRING (114.1025353 22.5404556, 114.1026778 22.5404575, 114.1043491 22.5404773, 114.1043875 22.5404785, 114.1044251 22.5404812, 114.1044575 22.5404857, 114.104481 22.5404917, 114.1045038 22.5405032)",
2474733861,2474733849,0,624056634,False,,金塘街,secondary,True,7.105,"LINESTRING (114.1025357 22.5405195, 114.1025353 22.5404556)",
2474733861,8244777650,0,"[239698144, 624056634]",False,,金塘街,"['secondary', 'tertiary']",False,297.363,"LINESTRING (114.1025357 22.5405195, 114.1025367 22.5406283, 114.1025357 22.54097, 114.1025358 22.5410378, 114.102524 22.5410862, 114.1024955 22.5411325, 114.1024561 22.5411624, 114.1024074 22.5411794, 114.1023542 22.5411869, 114.1018893 22.5411891, 114.1018634 22.5426677)",
2474733891,3583676835,0,1051842302,True,,建设路,secondary,False,13.995,"LINESTRING (114.1111167 22.5432366, 114.111094 22.5433607)",
2474733891,8205488261,0,218581552,True,,,secondary_link,False,184.051,"LINESTRING (114.1111167 22.5432366, 114.1110767 22.5433205, 114.1110572 22.543373, 114.110958 22.5437124, 114.1109266 22.5437837, 114.1108857 22.5438347, 114.1108481 22.5438644, 114.1108025 22.5438867, 114.1107274 22.5438966, 114.1104592 22.5438673, 114.110374 22.5438555, 114.1103016 22.5438431, 114.110248 22.5438159, 114.1102131 22.5437812, 114.1101782 22.5437316, 114.1101608 22.5436896, 114.1101474 22.5436388, 114.1101354 22.5435806, 114.1101067 22.5434471)",
2474735642,349120461,0,31346628,False,,南湖路,tertiary,False,9.746,"LINESTRING (114.1158641 22.5428963, 114.115885 22.5428108)",
2474735642,5162777247,0,31346628,False,,南湖路,tertiary,True,185.287,"LINESTRING (114.1158641 22.5428963, 114.1154854 22.5445255)",
2474735642,8257482406,0,239698248,True,,嘉宾路,secondary,False,83.90899999999999,"LINESTRING (114.1158641 22.5428963, 114.1156494 22.5428833, 114.1150608 22.5427672)",
2474735647,1394350651,0,218581561,False,,,residential,False,195.87599999999998,"LINESTRING (114.1124891 22.5421432, 114.1125896 22.5416038, 114.112617 22.5413944, 114.1126512 22.541133, 114.1127323 22.5403968)",
2474735647,8202181900,0,996531089,True,,嘉宾路,secondary,False,104.11099999999999,"LINESTRING (114.1124891 22.5421432, 114.1132721 22.5422955, 114.1133242 22.5423061, 114.1134806 22.5423382)",
2474735671,8205496053,0,996755170,True,,建设路,secondary,False,16.703,"LINESTRING (114.1113579 22.5419314, 114.111326 22.5420787)",
2474735671,2474735647,0,996531089,True,,嘉宾路,secondary,False,118.556,"LINESTRING (114.1113579 22.5419314, 114.1114208 22.5419399, 114.1114887 22.54195, 114.1115411 22.5419591, 114.1115958 22.5419695, 114.1124891 22.5421432)",
2623148598,8258828669,0,558274288,True,,东门中路,primary,False,160.433,"LINESTRING (114.1163914 22.5492617, 114.116407 22.5491753, 114.1164276 22.5490873, 114.1164801 22.5488744, 114.1165041 22.5487754, 114.1166432 22.5482004, 114.1167274 22.5478528)",
2760370680,9084081445,0,962639874,True,,深南东路,primary,False,64.556,"LINESTRING (114.1090526 22.5451165, 114.1096723 22.5452139)",
2760370680,8205488261,0,"[982234897, 673003901]",True,,,primary_link,False,259.387,"LINESTRING (114.1090526 22.5451165, 114.1094953 22.5451263, 114.1095589 22.5451186, 114.1096516 22.5451043, 114.1097169 22.545082, 114.1097866 22.5450399, 114.1098295 22.5449953, 114.1098554 22.5449352, 114.1098769 22.5448435, 114.109918 22.5444949, 114.1099428 22.544243, 114.1099918 22.5438369, 114.1100025 22.5437541, 114.1100118 22.5437005, 114.1100305 22.5436427, 114.1100565 22.5435884, 114.1101067 22.5434471)",
2760370683,2474733891,0,271078738,True,,建设路,secondary,False,60.448,"LINESTRING (114.1112149 22.5427006, 114.1111167 22.5432366)",
2760370683,8202181827,0,531378280,False,,,residential,True,147.037,"LINESTRING (114.1112149 22.5427006, 114.1126217 22.5429463)",
2760370692,2456778741,0,996635471,True,,深南东路,primary,False,246.466,"LINESTRING (114.1112891 22.5454682, 114.1124626 22.5456563, 114.1129047 22.5457272, 114.1134653 22.545817, 114.1136537 22.5458472)",
2760370694,2760370805,0,996321281,True,,深南东路,primary,False,215.508,"LINESTRING (114.1113171 22.5455961, 114.1092518 22.5452528)",
2760370694,2765186549,0,663558699,True,,,primary_link,False,42.239999999999995,"LINESTRING (114.1113171 22.5455961, 114.1109984 22.5456135, 114.1109064 22.5456161)",
2760370697,2760370692,0,996635470,True,,,primary_link,False,33.923,"LINESTRING (114.1109828 22.545354, 114.1112891 22.5454682)",
2760370738,8205488250,0,218588991,True,,和平路,secondary,False,23.295,"LINESTRING (114.1096049 22.5472746, 114.109632 22.5470666)",
2760370746,2278166463,0,996635469,True,,建设路,secondary,False,108.87,"LINESTRING (114.1110774 22.5434511, 114.1108825 22.5444135)",
2760370746,2760370765,0,734237364,True,,,primary_link,False,66.341,"LINESTRING (114.1110774 22.5434511, 114.1110586 22.5438635, 114.1110522 22.5439414, 114.1110355 22.544046)",
2760370765,2760370697,0,734237364,True,,,primary_link,False,153.986,"LINESTRING (114.1110355 22.544046, 114.1109507 22.5444627, 114.1108374 22.5450567, 114.1108294 22.5451327, 114.1108318 22.5451827, 114.1108433 22.5452328, 114.1108708 22.545275, 114.1109168 22.5453156, 114.1109828 22.545354)",
2760370767,2474735671,0,996635463,True,,建设路,secondary,False,197.387,"LINESTRING (114.1116811 22.5401817, 114.1114952 22.5412189, 114.1114063 22.5417157, 114.1113937 22.5417721, 114.1113579 22.5419314)",
2760370774,2765186697,0,"[237813000, 271568314]",True,,解放路,tertiary,False,173.75900000000001,"LINESTRING (114.1098045 22.5475662, 114.1095507 22.5474962, 114.1090858 22.5473664, 114.1090319 22.5473513, 114.10891 22.5473139, 114.1082054 22.5470592)",yes
2760370774,2760370738,0,996755168,True,,和平路,secondary,False,41.08,"LINESTRING (114.1098045 22.5475662, 114.1097654 22.5475453, 114.1097289 22.5475228, 114.1096947 22.5474958, 114.1096657 22.547466, 114.1096376 22.5474308, 114.1096192 22.5473976, 114.1096079 22.5473604, 114.1096046 22.5473166, 114.1096049 22.5472746)",
2760370805,2776964648,0,996321281,True,,深南东路,primary,False,74.598,"LINESTRING (114.1092518 22.5452528, 114.1085353 22.5451425)",
2765186488,2765186672,0,271562080,False,,桂园路,residential,False,82.675,"LINESTRING (114.1070244 22.5477494, 114.1078243 22.5478334)",
2765186488,2765186593,0,271562090,False,,桂园路,residential,False,60.55,"LINESTRING (114.1070244 22.5477494, 114.1068201 22.5482602)",
2765186488,2765186563,0,271562090,False,,桂园路,residential,True,115.096,"LINESTRING (114.1070244 22.5477494, 114.107407 22.5467765)",
2765186492,2760370805,0,663558699,True,,,primary_link,False,38.033,"LINESTRING (114.1095992 22.5453713, 114.1092518 22.5452528)",
2765186548,348429259,0,748621319,False,,人民北路,unclassified,False,46.573,"LINESTRING (114.1140903 22.5479054, 114.1139828 22.5474985)",
2765186549,2765186492,0,663558699,True,,,primary_link,False,137.128,"LINESTRING (114.1109064 22.5456161, 114.1107926 22.5456055, 114.1106799 22.545589, 114.1099741 22.5454643, 114.1095992 22.5453713)",
2765186549,2765186639,0,673003899,True,,,primary_link,False,133.076,"LINESTRING (114.1109064 22.5456161, 114.1108292 22.5456376, 114.1107972 22.5456561, 114.1107612 22.5456919, 114.1107327 22.5457376, 114.1107104 22.545801, 114.1106986 22.5458544, 114.110561 22.5467097)",
2765186563,2765186488,0,271562090,False,,桂园路,residential,False,115.096,"LINESTRING (114.107407 22.5467765, 114.1070244 22.5477494)",
2765186563,8562270818,0,996321285,True,,解放路,tertiary,False,142.046,"LINESTRING (114.107407 22.5467765, 114.1060912 22.5463827)",
