u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed,bridge
2756922928,2756922926,0,759795399,False,,深云西五路,tertiary,True,183.37700000000004,"LINESTRING (113.982574 22.5557018, 113.9826264 22.5557028, 113.9826684 22.5556914, 113.9827078 22.5556681, 113.9827433 22.5556317, 113.9827623 22.5555882, 113.982774 22.5555246, 113.9827732 22.555412, 113.9827598 22.5551734, 113.982732 22.5549569, 113.9827043 22.5548112, 113.9826516 22.554623, 113.982602 22.5545053, 113.9825426 22.5543935, 113.9824938 22.5543214, 113.9824285 22.5542306)",,,
4899192440,7510401564,0,245769075,False,,,tertiary,False,19.514,"LINESTRING (113.9839725 22.5555128, 113.9839126 22.5555028, 113.9837844 22.5554883)",,,
4899192440,7517355936,0,245769075,False,,,tertiary,True,141.799,"LINESTRING (113.9839725 22.5555128, 113.9840451 22.555529, 113.9840792 22.5555392, 113.9841098 22.5555481, 113.98415 22.5555633, 113.9841795 22.5555764, 113.9842533 22.5556174, 113.984328 22.5556619, 113.9848665 22.5560009, 113.9849745 22.5560628, 113.9850323 22.5560946, 113.985105 22.556129, 113.9851595 22.5561505)",,,
4899192440,7510804333,0,"[802934362, 802934363]",False,,,unclassified,True,231.11499999999995,"LINESTRING (113.9839725 22.5555128, 113.9839995 22.5553059, 113.9840026 22.5551567, 113.9840018 22.5551051, 113.9839949 22.5550585, 113.9838832 22.5544427, 113.9838702 22.5543493, 113.9838931 22.5543133, 113.9839842 22.5542786, 113.9839712 22.5541832, 113.9839498 22.5541273, 113.9839054 22.5540729, 113.9836726 22.5538615, 113.9835417 22.5537448, 113.9834621 22.5537194)",,,
4899192474,2756922851,0,160220798,False,,深云西二路,tertiary,False,240.579,"LINESTRING (113.9804234 22.5574303, 113.9807335 22.5560719, 113.9807751 22.5559153, 113.9808269 22.5557566, 113.9808823 22.5556148, 113.9809457 22.5554896, 113.9810333 22.5553523)",,,
4899192474,2367043445,0,1052079675,True,,北环大道辅路,primary,False,160.295,"LINESTRING (113.9804234 22.5574303, 113.9814349 22.557694, 113.9815831 22.5577274, 113.9817325 22.5577545, 113.9819344 22.5577881)",,,
5717328752,2367048904,0,601620104,True,,北环大道辅路,primary,False,262.323,"LINESTRING (113.9856207 22.5584752, 113.9859293 22.5585346, 113.9862081 22.5585698, 113.9865217 22.5585995, 113.9870703 22.5586267, 113.9876604 22.5586415, 113.988163 22.5586229)",,,
5717328752,2367043467,0,601620105,True,,,trunk_link,False,141.03300000000002,"LINESTRING (113.9856207 22.5584752, 113.9857534 22.5585098, 113.9858497 22.5585472, 113.985968 22.5586119, 113.9861182 22.5587061, 113.9862657 22.5587828, 113.9863616 22.5588214, 113.9864803 22.5588599, 113.9868792 22.5589563)",,,
7510401557,1722822969,0,1052079684,True,,深云路,primary,False,36.625,"LINESTRING (113.9832097 22.5556589, 113.9832046 22.5557075, 113.9831472 22.555983)",,,
7510401564,4899192440,0,245769075,False,,,tertiary,True,19.514,"LINESTRING (113.9837844 22.5554883, 113.9839126 22.5555028, 113.9839725 22.5555128)",,,
