u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge
637864419,637864646,0,157735062,馬會道 Jockey Club Road,primary_link,True,False,119.237,"LINESTRING (114.1287355 22.5060301, 114.1284418 22.5062822, 114.1279227 22.5067948)",,,
637864448,6695902579,0,46890302,寶石湖路 Po Shek Wu Road,primary,True,False,205.99699999999996,"LINESTRING (114.126822 22.5074468, 114.1268046 22.5074026, 114.1263907 22.5069159, 114.1256748 22.5061585, 114.1256459 22.5061279, 114.1256139 22.5060927, 114.1255983 22.5060754, 114.1255483 22.5060202)",2,,
637864448,637864826,0,680842304,寶石湖路 Po Shek Wu Road,primary,True,False,16.39,"LINESTRING (114.126822 22.5074468, 114.1267693 22.5074418, 114.1267176 22.5074532, 114.1266726 22.5074798)",,roundabout,
637864527,637864360,0,668664451,寶石湖路 Po Shek Wu Road,primary,True,False,11.937,"LINESTRING (114.1268737 22.5077072, 114.12691 22.5076729, 114.1269225 22.5076534, 114.1269355 22.5076187)",,roundabout,
637864537,637864527,0,50178009,寶石湖路 Po Shek Wu Road,primary,True,False,26.178000000000004,"LINESTRING (114.1266479 22.5076708, 114.1266827 22.5077051, 114.1267277 22.5077275, 114.1267781 22.5077355, 114.1268284 22.5077285, 114.1268737 22.5077072)",,roundabout,
637864625,637882051,0,248017208,新豐路 San Fung Avenue,tertiary,False,False,103.93799999999999,"LINESTRING (114.1267648 22.5040573, 114.1267289 22.5037186, 114.126684 22.5032988, 114.1266702 22.5031267)",,,
637864625,637864192,0,248017208,新豐路 San Fung Avenue,tertiary,False,True,78.511,"LINESTRING (114.1267648 22.5040573, 114.1268156 22.5045376, 114.1268278 22.5046447, 114.12683 22.5046645, 114.1268424 22.5047597)",,,
637864646,7500882174,0,147463954,,tertiary,True,False,47.725,"LINESTRING (114.1279227 22.5067948, 114.1278667 22.5068314, 114.1278223 22.5068535, 114.1277644 22.5068574, 114.1276585 22.5068469, 114.1275573 22.5068404, 114.1274793 22.506826)",,,
637864646,637864260,0,394161078,馬會道 Jockey Club Road,primary_link,True,False,33.010999999999996,"LINESTRING (114.1279227 22.5067948, 114.1278487 22.5069005, 114.1277834 22.5070605)",,,
637864658,637864250,0,759964887,,tertiary,True,False,18.368,"LINESTRING (114.1271905 22.5067716, 114.1270696 22.5066499)",,,
637864658,1606824347,0,147463886,,tertiary_link,True,False,12.782,"LINESTRING (114.1271905 22.5067716, 114.1271401 22.5067941, 114.1271099 22.506815, 114.1270853 22.506832)",,,
637864671,5226359296,0,680842299,新豐路 San Fung Avenue,tertiary,False,True,8.744,"LINESTRING (114.1268957 22.5053159, 114.1268983 22.5053945)",,,
637864671,6695902580,0,147463787,寶運路 Po Wan Road,tertiary,True,False,164.277,"LINESTRING (114.1268957 22.5053159, 114.1267535 22.5053376, 114.1266256 22.5053603, 114.1265304 22.5053831, 114.1263277 22.5054395, 114.1262046 22.5054905, 114.1259913 22.5055918, 114.1258122 22.5057088, 114.125628 22.5058326, 114.1256095 22.5058478, 114.1255672 22.5058735, 114.125471 22.5059358)",,,
637864671,637864192,0,248017208,新豐路 San Fung Avenue,tertiary,False,False,62.087999999999994,"LINESTRING (114.1268957 22.5053159, 114.1268876 22.5052332, 114.1268424 22.5047597)",,,
637864816,637864448,0,448169058,寶石湖路 Po Shek Wu Road,primary,True,False,7.92,"LINESTRING (114.1268887 22.5074815, 114.1268662 22.5074651, 114.126822 22.5074468)",,roundabout,
637864826,637864537,0,680842301,寶石湖路 Po Shek Wu Road,primary,True,False,23.241,"LINESTRING (114.1266726 22.5074798, 114.1266376 22.5075225, 114.126622 22.5075689, 114.1266206 22.5075898, 114.1266247 22.5076219, 114.126632 22.5076431, 114.1266479 22.5076708)",,roundabout,
637882051,637882053,0,147463810,新運路 San Wan Road,unclassified,False,False,53.256,"LINESTRING (114.1266702 22.5031267, 114.1265129 22.5031412, 114.1263897 22.5031526, 114.1262901 22.5031655, 114.1262441 22.5031786, 114.1261616 22.5032064)",,,
637882051,637864625,0,248017208,新豐路 San Fung Avenue,tertiary,False,True,103.938,"LINESTRING (114.1266702 22.5031267, 114.126684 22.5032988, 114.1267289 22.5037186, 114.1267648 22.5040573)",,,
637882051,1449544112,0,540179773,龍琛路 Lung Sum Avenue,secondary,True,False,38.402,"LINESTRING (114.1266702 22.5031267, 114.1269527 22.5030825, 114.1270373 22.5030626)",,,
637882053,7500672163,0,147463808,新運里 San Wan Lane,residential,False,False,46.934,"LINESTRING (114.1261616 22.5032064, 114.1261717 22.5031186, 114.1261772 22.503084, 114.1261932 22.5030529, 114.1262159 22.5030342, 114.1262479 22.503014, 114.1264363 22.5029145)",,,
637882053,637882055,0,147463810,新運路 San Wan Road,unclassified,False,False,40.188,"LINESTRING (114.1261616 22.5032064, 114.1259842 22.5032792, 114.1258125 22.5033686)",,,
637882053,637882051,0,147463810,新運路 San Wan Road,unclassified,False,True,53.256,"LINESTRING (114.1261616 22.5032064, 114.1262441 22.5031786, 114.1262901 22.5031655, 114.1263897 22.5031526, 114.1265129 22.5031412, 114.1266702 22.5031267)",,,
