u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,tunnel
6562269875,2528818921,0,698827751,False,建业二街,residential,True,72.563,"LINESTRING (114.0104262 22.5408534, 114.0110973 22.5410575)",,
6562269875,6562269876,0,1083453780,False,建业一街,residential,False,18.336,"LINESTRING (114.0104262 22.5408534, 114.0104747 22.5406947)",,
6562269876,6562282556,0,698827754,False,,living_street,True,61.351,"LINESTRING (114.0104747 22.5406947, 114.0110591 22.5408091)",,
6562269876,6562269879,0,1080294596,False,建业一街,residential,False,30.394,"LINESTRING (114.0104747 22.5406947, 114.0105576 22.5404323)",,
6562269876,6562269879,1,1083453779,False,,residential,False,30.394,"LINESTRING (114.0104747 22.5406947, 114.0105576 22.5404323)",,
6562269876,6562269879,2,698827752,False,,living_street,False,69.85,"LINESTRING (114.0104747 22.5406947, 114.0102664 22.5405951, 114.0103243 22.5404079, 114.0105576 22.5404323)",,
6562269876,6562269875,0,1083453780,False,建业一街,residential,True,18.336,"LINESTRING (114.0104747 22.5406947, 114.0104262 22.5408534)",,
6562269879,6562269876,0,1080294596,False,建业一街,residential,True,30.394,"LINESTRING (114.0105576 22.5404323, 114.0104747 22.5406947)",,
6562269879,6562269876,1,1083453779,False,,residential,True,30.394,"LINESTRING (114.0105576 22.5404323, 114.0104747 22.5406947)",,
6562269879,6562269876,2,698827752,False,,living_street,True,69.85,"LINESTRING (114.0105576 22.5404323, 114.0103243 22.5404079, 114.0102664 22.5405951, 114.0104747 22.5406947)",,
6562269879,6562282557,0,1083453777,False,,living_street,False,62.937,"LINESTRING (114.0105576 22.5404323, 114.0111423 22.5406018)",,
6562269879,2528818913,0,1083453778,False,建业一街,residential,False,23.097,"LINESTRING (114.0105576 22.5404323, 114.0105809 22.5402257)",,
6562269880,2528818913,0,1080294603,False,竹香六路,residential,False,31.319,"LINESTRING (114.0103071 22.5401183, 114.0103732 22.5401748, 114.0105809 22.5402257)",,
6562269880,6562269871,0,1080294604,False,建业街,residential,True,87.315,"LINESTRING (114.0103071 22.5401183, 114.0102491 22.5401625, 114.0096511 22.5406178)",,
6562282538,6562282562,0,698827748,False,,living_street,False,22.912,"LINESTRING (114.0120401 22.5427047, 114.0121086 22.5425086)",,
6562282554,2528818913,0,698827753,False,,living_street,True,86.935,"LINESTRING (114.0114066 22.5403979, 114.0105809 22.5402257)",,
6562282556,6562269876,0,698827754,False,,living_street,False,61.351,"LINESTRING (114.0110591 22.5408091, 114.0104747 22.5406947)",,
6562282557,6562269879,0,1083453777,False,,living_street,True,62.937,"LINESTRING (114.0111423 22.5406018, 114.0105576 22.5404323)",,
6562282559,6562269870,0,698827755,False,,living_street,True,90.683,"LINESTRING (114.0114391 22.5405584, 114.0116853 22.5406286, 114.0115115 22.5411834)",,
6562282562,6562282564,0,698827748,False,,living_street,False,31.933,"LINESTRING (114.0121086 22.5425086, 114.0122041 22.5422353)",,
6562282562,6562282538,0,698827748,False,,living_street,True,22.912,"LINESTRING (114.0121086 22.5425086, 114.0120401 22.5427047)",,
6562282562,6562282577,0,698827757,False,,living_street,False,58.323,"LINESTRING (114.0121086 22.5425086, 114.0115715 22.5423382)",,
6562282563,6562282578,0,698827757,False,,living_street,True,43.884,"LINESTRING (114.0107655 22.5420806, 114.011169 22.5422105)",,
6562282563,6562282565,0,1080294601,False,竹香三路,residential,False,32.328,"LINESTRING (114.0107655 22.5420806, 114.0108544 22.5418017)",,
6562282563,2528818944,0,1080294601,False,竹香三路,residential,True,39.695,"LINESTRING (114.0107655 22.5420806, 114.0106508 22.5424215)",,
6562282564,6562282566,0,698827748,False,,living_street,False,30.761,"LINESTRING (114.0122041 22.5422353, 114.012296 22.541972)",,
6562282564,6562282562,0,698827748,False,,living_street,True,31.933,"LINESTRING (114.0122041 22.5422353, 114.0121086 22.5425086)",,
6562282564,6562282575,0,698827758,False,,living_street,False,58.583,"LINESTRING (114.0122041 22.5422353, 114.011665 22.5420631)",,
6562282565,6562282576,0,698827758,False,,living_street,True,44.296,"LINESTRING (114.0108544 22.5418017, 114.0112612 22.5419341)",,
6562282565,6562282567,0,1080294601,False,竹香三路,residential,False,30.782,"LINESTRING (114.0108544 22.5418017, 114.0109432 22.5415373)",,
6562282565,6562282563,0,1080294601,False,竹香三路,residential,True,32.328,"LINESTRING (114.0108544 22.5418017, 114.0107655 22.5420806)",,
6562282566,6562282568,0,698827748,False,,living_street,False,33.171,"LINESTRING (114.012296 22.541972, 114.0123952 22.5416881)",,
6562282566,6562282564,0,698827748,False,,living_street,True,30.761,"LINESTRING (114.012296 22.541972, 114.0122041 22.5422353)",,
6562282566,6562282574,0,698827759,False,,living_street,False,58.82,"LINESTRING (114.012296 22.541972, 114.0117542 22.5418005)",,
